,Player,Model_Odds,Favor,BetMGM,Difference,Model_Probability,BetMGM_Probability,Weight,WeightedValue
208,Pat Freiermuth,177.77777777777777,1,270.0,-92.22222222222223,0.36,0.2702702702702703,0.64,-0.05742702702702701
102,Dalton Schultz,222.5806451612903,1,310.0,-87.4193548387097,0.31,0.24390243902439024,0.69,-0.04560731707317073
130,Xavier Worthy,185.7142857142857,1,250.0,-64.2857142857143,0.35000000000000003,0.2857142857142857,0.6499999999999999,-0.041785714285714315
16,Mark Andrews,117.39130434782606,1,150.0,-32.608695652173935,0.46,0.4,0.54,-0.0324
124,Noah Gray,400.0,1,525.0,-125.0,0.2,0.16,0.8,-0.03200000000000001
126,DeAndre Hopkins,203.030303030303,1,250.0,-46.969696969697,0.33,0.2857142857142857,0.6699999999999999,-0.029671428571428588
