,Player,Model_Odds,Favor,BetMGM,Difference,Model_Probability,BetMGM_Probability,Weight,WeightedValue
160,Jordan Whittington,127.27272727272728,1,1100.0,-972.7272727272727,0.44,0.08333333333333333,0.56,-0.19973333333333337
231,George Kittle,112.76595744680851,1,155.0,-42.234042553191486,0.47000000000000003,0.39215686274509803,0.53,-0.04125686274509806
156,Cooper Kupp,122.22222222222224,1,140.0,-17.777777777777757,0.45,0.4166666666666667,0.55,-0.01833333333333333
232,Ricky Pearsall,376.1904761904762,1,400.0,-23.809523809523796,0.21,0.2,0.79,-0.007899999999999985
154,Tutu Atwell,400.0,1,400.0,0.0,0.2,0.2,0.8,0.0
