,Player,Model_Odds,Favor,DraftKings,Difference,Model_Probability,DraftKings_Probability,Weight,WeightedValue
45,David Njoku,117.39130434782606,1,475.0,-357.60869565217394,0.46,0.17391304347826086,0.54,-0.15448695652173916
44,Elijah Moore,163.15789473684208,1,475.0,-311.8421052631579,0.38000000000000006,0.17391304347826086,0.6199999999999999,-0.12777391304347827
46,James Proche II,376.1904761904762,1,1500.0,-1123.8095238095239,0.21,0.0625,0.79,-0.116525
41,Drew Sample,316.6666666666667,1,1000.0,-683.3333333333333,0.24,0.09090909090909091,0.76,-0.1133090909090909
43,Jerry Jeudy,150.0,1,275.0,-125.0,0.4,0.26666666666666666,0.6,-0.08000000000000002
172,Pat Freiermuth,194.11764705882356,1,290.0,-95.88235294117644,0.33999999999999997,0.2564102564102564,0.66,-0.05516923076923077
137,T.J. Hockenson,104.08163265306123,1,160.0,-55.918367346938766,0.49,0.38461538461538464,0.51,-0.05374615384615383
171,Calvin Austin III,222.5806451612903,1,320.0,-97.4193548387097,0.31,0.23809523809523808,0.69,-0.049614285714285715
102,DeAndre Hopkins,334.78260869565213,1,450.0,-115.21739130434787,0.23,0.18181818181818182,0.77,-0.03710000000000001
63,Sam LaPorta,-108.33333333333334,-1,125.0,-233.33333333333334,0.52,0.4444444444444444,0.48,-0.03626666666666668
39,Tanner Hudson,669.2307692307692,1,950.0,-280.76923076923083,0.13,0.09523809523809523,0.87,-0.03024285714285715
38,Tee Higgins,-117.3913043478261,-1,110.0,-227.3913043478261,0.54,0.47619047619047616,0.45999999999999996,-0.029352380952380977
58,Lucas Krull,525.0,1,600.0,-75.0,0.16,0.14285714285714285,0.84,-0.014400000000000008
56,Nate Adkins,455.55555555555554,1,500.0,-44.44444444444446,0.18,0.16666666666666666,0.8200000000000001,-0.010933333333333337
37,Mike Gesicki,284.6153846153846,1,295.0,-10.384615384615415,0.26,0.25316455696202533,0.74,-0.00505822784810126
57,Lil'Jordan Humphrey,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
