,Player,Model_Odds,Favor,DraftKings,Difference,Model_Probability,DraftKings_Probability,Weight,WeightedValue
138,Derius Davis,354.54545454545456,1,850.0,-495.45454545454544,0.22,0.10526315789473684,0.78,-0.08949473684210527
208,Pat Freiermuth,177.77777777777777,1,295.0,-117.22222222222223,0.36,0.25316455696202533,0.64,-0.06837468354430377
43,DJ Moore,132.55813953488374,1,215.0,-82.44186046511626,0.43,0.31746031746031744,0.5700000000000001,-0.06414761904761906
102,Dalton Schultz,222.5806451612903,1,350.0,-127.4193548387097,0.31,0.2222222222222222,0.69,-0.06056666666666667
174,Kayshon Boutte,244.82758620689657,1,380.0,-135.17241379310343,0.29,0.20833333333333334,0.71,-0.05798333333333331
226,Noah Fant,270.3703703703703,1,400.0,-129.62962962962968,0.27,0.2,0.73,-0.051100000000000007
16,Mark Andrews,117.39130434782606,1,165.0,-47.608695652173935,0.46,0.37735849056603776,0.54,-0.04462641509433962
130,Xavier Worthy,185.7142857142857,1,240.0,-54.285714285714306,0.35000000000000003,0.29411764705882354,0.6499999999999999,-0.03632352941176471
126,DeAndre Hopkins,203.030303030303,1,260.0,-56.969696969697,0.33,0.2777777777777778,0.6699999999999999,-0.03498888888888889
176,Hunter Henry,257.1428571428571,1,330.0,-72.85714285714289,0.28,0.23255813953488372,0.72,-0.03415813953488374
227,Tyler Lockett,316.6666666666667,1,400.0,-83.33333333333331,0.24,0.2,0.76,-0.030399999999999986
44,Rome Odunze,257.1428571428571,1,300.0,-42.85714285714289,0.28,0.25,0.72,-0.02160000000000002
175,DeMario Douglas,376.1904761904762,1,400.0,-23.809523809523796,0.21,0.2,0.79,-0.007899999999999985
177,Austin Hooper,426.31578947368416,1,450.0,-23.684210526315837,0.19000000000000003,0.18181818181818182,0.8099999999999999,-0.006627272727272747
