,Player,DraftKings,Caesars,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
0,Saquon Barkley,-190,-210,-185,-250,-278,-225,-190
1,Jalen Hurts,-110,-140,-115,-143,-157,-110,-110
2,A.J. Brown,110,115,130,100,-112,115,110
3,Brian Robinson Jr.,105,115,130,110,-104,115,105
4,Austin Ekeler,115,210,220,110,140,115,115
5,Terry McLaurin,110,125,175,100,148,100,110
6,DeVonta Smith,155,165,220,150,163,175,155
7,Dallas Goedert,195,275,370,190,230,200,195
8,Jayden Daniels,220,180,210,150,140,210,220
9,Zach Ertz,245,290,320,230,280,300,245
10,Noah Brown,260,275,290,260,260,300,260
11,Jeremy McNichols,340,675,1100,350,500,350,340
12,Philadelphia Eagles D/ST,450,N/A,N/A,N/A,N/A,500,450
13,Washington Commanders D/ST,500,N/A,N/A,N/A,N/A,700,500
14,Kenneth Gainwell,600,450,650,450,400,600,600
15,Jahan Dotson,650,650,850,750,800,750,650
16,Johnny Wilson,550,600,850,550,1000,750,550
17,Grant Calcaterra,650,950,600,600,850,600,650
18,Olamide Zaccheaus,550,650,750,550,1100,650,550
19,Dyami Brown,550,900,850,550,900,700,550
20,Chris Rodriguez Jr.,650,N/A,N/A,600,700,700,650
21,Luke McCaffrey,500,800,800,550,650,650,500
22,Jack Stoll,1200,N/A,1600,N/A,N/A,1500,1200
23,Ben Sinnott,750,1200,2000,750,1500,1400,750
24,Ainias Smith,1200,1200,850,800,1700,1100,1200
25,John Bates,1100,1500,1800,1100,1500,1600,1100
26,Will Shipley,1600,2200,2300,1400,1500,1800,1600
27,Derrick Henry,-205,N/A,N/A,-250,N/A,N/A,-200
28,Najee Harris,120,N/A,N/A,120,N/A,N/A,120
29,Jaylen Warren,145,N/A,N/A,140,N/A,N/A,145
30,Mark Andrews,130,N/A,N/A,130,N/A,N/A,130
31,George Pickens,130,N/A,N/A,130,N/A,N/A,130
32,Zay Flowers,150,N/A,N/A,150,N/A,N/A,150
33,Pat Freiermuth,160,N/A,N/A,160,N/A,N/A,160
34,Lamar Jackson,220,N/A,N/A,190,N/A,N/A,220
35,Rashod Bateman,265,N/A,N/A,260,N/A,N/A,265
36,Mike Williams,340,N/A,N/A,325,N/A,N/A,N/A
37,Cordarrelle Patterson,380,N/A,N/A,350,N/A,N/A,380
38,Isaiah Likely,350,N/A,N/A,350,N/A,N/A,350
39,Diontae Johnson,390,N/A,N/A,350,N/A,N/A,390
40,Nelson Agholor,425,N/A,N/A,400,N/A,N/A,425
41,Justice Hill,475,N/A,N/A,450,N/A,N/A,475
42,Keaton Mitchell,500,N/A,N/A,500,N/A,N/A,N/A
43,Baltimore Ravens D/ST,425,N/A,N/A,N/A,N/A,N/A,425
44,Van Jefferson,450,N/A,N/A,450,N/A,N/A,450
45,Russell Wilson,650,N/A,N/A,650,N/A,N/A,650
46,Pittsburgh Steelers D/ST,500,N/A,N/A,N/A,N/A,N/A,500
47,Calvin Austin III,500,N/A,N/A,400,N/A,N/A,500
48,Tylan Wallace,750,N/A,N/A,750,N/A,N/A,750
49,Charlie Kolar,850,N/A,N/A,800,N/A,N/A,850
50,Darnell Washington,850,N/A,N/A,800,N/A,N/A,850
51,Connor Heyward,1200,N/A,N/A,1100,N/A,N/A,1200
52,Devontez Walker,1800,N/A,N/A,1700,N/A,N/A,1800
53,Patrick Ricard,2200,N/A,N/A,1900,N/A,N/A,2200
54,Scott Miller,2000,N/A,N/A,1900,N/A,N/A,2000
55,Ben Skowronek,2000,N/A,N/A,N/A,N/A,N/A,2000
56,MyCole Pruitt,1900,N/A,N/A,1400,N/A,N/A,1900
57,Josh Jacobs,-150,N/A,N/A,-167,N/A,N/A,-150
58,D'Andre Swift,110,N/A,N/A,110,N/A,N/A,110
59,Jayden Reed,155,N/A,N/A,150,N/A,N/A,155
60,Romeo Doubs,230,N/A,N/A,210,N/A,N/A,230
61,Tucker Kraft,230,N/A,N/A,230,N/A,N/A,230
62,Christian Watson,300,N/A,N/A,260,N/A,N/A,300
63,DJ Moore,260,N/A,N/A,260,N/A,N/A,260
64,Keenan Allen,310,N/A,N/A,300,N/A,N/A,310
65,Rome Odunze,320,N/A,N/A,300,N/A,N/A,320
66,Caleb Williams,340,N/A,N/A,325,N/A,N/A,340
67,Emanuel Wilson,425,N/A,N/A,450,N/A,N/A,425
68,Cole Kmet,370,N/A,N/A,350,N/A,N/A,370
69,Roschon Johnson,425,N/A,N/A,300,N/A,N/A,N/A
70,Dontayvion Wicks,450,N/A,N/A,450,N/A,N/A,450
71,Green Bay Packers D/ST,390,N/A,N/A,N/A,N/A,N/A,390
72,MarShawn Lloyd,500,N/A,N/A,N/A,N/A,N/A,500
73,Chicago Bears D/ST,425,N/A,N/A,N/A,N/A,N/A,425
74,Jordan Love,600,N/A,N/A,600,N/A,N/A,600
75,Chris Brooks,850,N/A,N/A,900,N/A,N/A,850
76,Gerald Everett,1100,N/A,N/A,1100,N/A,N/A,1100
77,Bo Melton,1300,N/A,N/A,1100,N/A,N/A,1300
78,Travis Homer,1400,N/A,N/A,1400,N/A,N/A,1400
79,Ben Sims,1700,N/A,N/A,1400,N/A,N/A,1700
80,Tyler Scott,2500,N/A,N/A,2400,N/A,N/A,2500
81,Malik Heath,2000,N/A,N/A,1900,N/A,N/A,2000
82,Marcedes Lewis,2000,N/A,N/A,1900,N/A,N/A,2000
83,DeAndre Carter,1700,N/A,N/A,1700,N/A,N/A,1700
84,John FitzPatrick,2500,N/A,N/A,2400,N/A,N/A,2500
85,Alvin Kamara,-165,N/A,N/A,-167,N/A,N/A,-164
86,Nick Chubb,100,N/A,N/A,100,N/A,N/A,100
87,Taysom Hill,150,N/A,N/A,150,N/A,N/A,150
88,Jerry Jeudy,175,N/A,N/A,170,N/A,N/A,175
89,Cedric Tillman,175,N/A,N/A,170,N/A,N/A,175
90,Marquez Valdes-Scantling,195,N/A,N/A,190,N/A,N/A,195
91,David Njoku,185,N/A,N/A,180,N/A,N/A,185
92,Juwan Johnson,310,N/A,N/A,300,N/A,N/A,310
93,Jerome Ford,350,N/A,N/A,350,N/A,N/A,350
94,Jamaal Williams,370,N/A,N/A,350,N/A,N/A,370
95,Cedrick Wilson Jr.,350,N/A,N/A,350,N/A,N/A,350
96,Elijah Moore,350,N/A,N/A,350,N/A,N/A,350
97,Mason Tipton,360,N/A,N/A,350,N/A,N/A,360
98,Cleveland Browns D/ST,425,N/A,N/A,N/A,N/A,N/A,425
99,Jameis Winston,475,N/A,N/A,450,N/A,N/A,475
100,New Orleans Saints D/ST,425,N/A,N/A,N/A,N/A,N/A,425
101,Jordan Mims,550,N/A,N/A,550,N/A,N/A,550
102,Derek Carr,650,N/A,N/A,650,N/A,N/A,650
103,Jordan Akins,600,N/A,N/A,600,N/A,N/A,600
104,Equanimeous St. Brown,600,N/A,N/A,N/A,N/A,N/A,600
105,Pierre Strong Jr.,750,N/A,N/A,750,N/A,N/A,750
106,D'Onta Foreman,750,N/A,N/A,750,N/A,N/A,750
107,Dante Pettis,900,N/A,N/A,N/A,N/A,N/A,N/A
108,Jamari Thrash,850,N/A,N/A,800,N/A,N/A,850
109,Geoff Swaim,1000,N/A,N/A,1000,N/A,N/A,1000
110,Jaelon Darden,1600,N/A,N/A,1400,N/A,N/A,1600
111,David Montgomery,-250,N/A,N/A,-250,N/A,N/A,-250
112,Jahmyr Gibbs,-145,N/A,N/A,-167,N/A,N/A,-145
113,Amon-Ra St. Brown,-105,N/A,N/A,-111,N/A,N/A,-106
114,Sam LaPorta,165,N/A,N/A,160,N/A,N/A,165
115,Jameson Williams,165,N/A,N/A,150,N/A,N/A,165
116,Travis Etienne Jr.,135,N/A,N/A,130,N/A,N/A,135
117,Brock Wright,230,N/A,N/A,230,N/A,N/A,230
118,Tim Patrick,425,N/A,N/A,400,N/A,N/A,425
119,Brian Thomas Jr,265,N/A,N/A,250,N/A,N/A,265
120,Evan Engram,245,N/A,N/A,240,N/A,N/A,245
121,Craig Reynolds,500,N/A,N/A,500,N/A,N/A,500
122,Detroit Lions D/ST,400,N/A,N/A,N/A,N/A,N/A,400
123,Kalif Raymond,550,N/A,N/A,500,N/A,N/A,550
124,Jacksonville Jaguars D/ST,500,N/A,N/A,N/A,N/A,N/A,500
125,Shane Zylstra,750,N/A,N/A,750,N/A,N/A,750
126,Gabe Davis,425,N/A,N/A,450,N/A,N/A,425
127,Mac Jones,500,N/A,N/A,550,N/A,N/A,500
128,D'Ernest Johnson,500,N/A,N/A,500,N/A,N/A,500
129,Parker Washington,500,N/A,N/A,500,N/A,N/A,500
130,Sione Vaki,1000,N/A,N/A,1000,N/A,N/A,1000
131,Allen Robinson II,900,N/A,N/A,N/A,N/A,N/A,900
132,Jared Goff,950,N/A,N/A,800,N/A,N/A,1000
133,Brenton Strange,800,N/A,N/A,800,N/A,N/A,800
134,Devin Duvernay,1000,N/A,N/A,1100,N/A,N/A,1000
135,Tim Jones,1000,N/A,N/A,1100,N/A,N/A,1000
136,Luke Farrell,1000,N/A,N/A,1000,N/A,N/A,1000
137,Josiah Deguara,1900,N/A,N/A,1400,N/A,N/A,1900
138,Breece Hall,-135,N/A,N/A,-143,N/A,N/A,-136
139,Jonathan Taylor,-120,N/A,N/A,-143,N/A,N/A,-121
140,Garrett Wilson,-110,N/A,N/A,-111,N/A,N/A,-110
141,Davante Adams,-105,N/A,N/A,-111,N/A,N/A,-106
142,Braelon Allen,165,N/A,N/A,160,N/A,N/A,165
143,Michael Pittman Jr.,220,N/A,N/A,220,N/A,N/A,220
144,Alec Pierce,240,N/A,N/A,240,N/A,N/A,240
145,Josh Downs,245,N/A,N/A,240,N/A,N/A,245
146,Adonai Mitchell,280,N/A,N/A,280,N/A,N/A,280
147,Tyler Goodson,380,N/A,N/A,350,N/A,N/A,380
148,Tyler Conklin,425,N/A,N/A,400,N/A,N/A,425
149,Indianapolis Colts D/ST,425,N/A,N/A,N/A,N/A,N/A,425
150,Ashton Dulin,500,N/A,N/A,500,N/A,N/A,500
151,Xavier Gipson,650,N/A,N/A,550,N/A,N/A,650
152,Jeremy Ruckert,700,N/A,N/A,700,N/A,N/A,700
153,Aaron Rodgers,750,N/A,N/A,750,N/A,N/A,750
154,Mo Alie-Cox,600,N/A,N/A,600,N/A,N/A,600
155,Isaiah Davis,950,N/A,N/A,900,N/A,N/A,1000
156,Malachi Corley,850,N/A,N/A,800,N/A,N/A,850
157,Kenny Yeboah,950,N/A,N/A,900,N/A,N/A,1000
158,Kylen Granson,850,N/A,N/A,800,N/A,N/A,850
159,Joe Flacco,1000,N/A,N/A,1000,N/A,N/A,1000
160,Drew Ogletree,1000,N/A,N/A,1000,N/A,N/A,1000
161,Will Mallory,1200,N/A,N/A,1100,N/A,N/A,1200
162,Trey Sermon,1400,N/A,N/A,1300,N/A,N/A,1400
163,Laquon Treadwell,1900,N/A,N/A,N/A,N/A,N/A,1900
164,Evan Hull,2500,N/A,N/A,N/A,N/A,N/A,2500
165,Kyren Williams,-220,N/A,N/A,-250,N/A,N/A,-225
166,Rhamondre Stevenson,-115,N/A,N/A,-125,N/A,N/A,-115
167,Cooper Kupp,135,N/A,N/A,130,N/A,N/A,135
168,Puka Nacua,135,N/A,N/A,130,N/A,N/A,135
169,Hunter Henry,260,N/A,N/A,270,N/A,N/A,260
170,Tyler Higbee,330,N/A,N/A,N/A,N/A,N/A,330
171,Kayshon Boutte,330,N/A,N/A,300,N/A,N/A,320
172,Drake Maye,380,N/A,N/A,280,N/A,N/A,380
173,Demarcus Robinson,400,N/A,N/A,325,N/A,N/A,400
174,Antonio Gibson,400,N/A,N/A,400,N/A,N/A,400
175,DeMario Douglas,390,N/A,N/A,350,N/A,N/A,390
176,Davis Allen,380,N/A,N/A,350,N/A,N/A,380
177,Kendrick Bourne,425,N/A,N/A,400,N/A,N/A,425
178,Ja'Lynn Polk,425,N/A,N/A,400,N/A,N/A,425
179,Blake Corum,500,N/A,N/A,500,N/A,N/A,500
180,Los Angeles Rams D/ST,425,N/A,N/A,N/A,N/A,N/A,N/A
181,K.J. Osborn,475,N/A,N/A,450,N/A,N/A,475
182,New England Patriots D/ST,475,N/A,N/A,N/A,N/A,N/A,475
183,Austin Hooper,550,N/A,N/A,550,N/A,N/A,550
184,Colby Parkinson,700,N/A,N/A,700,N/A,N/A,700
185,Tutu Atwell,950,N/A,N/A,900,N/A,N/A,1000
186,Matthew Stafford,900,N/A,N/A,900,N/A,N/A,900
187,JaMycal Hasty,1200,N/A,N/A,900,N/A,N/A,1200
188,Tyler Johnson,1300,N/A,N/A,900,N/A,N/A,1300
189,Jordan Whittington,1300,N/A,N/A,1300,N/A,N/A,1300
190,Javon Baker,1800,N/A,N/A,1700,N/A,N/A,1800
191,Jaheim Bell,1800,N/A,N/A,1700,N/A,N/A,1800
192,Cody Schrader,2000,N/A,N/A,1900,N/A,N/A,2000
193,Xavier Smith,2500,N/A,N/A,2400,N/A,N/A,2500
194,Ronnie Rivers,1900,N/A,N/A,1900,N/A,N/A,1900
195,Tyquan Thornton,1800,N/A,N/A,1700,N/A,N/A,1800
196,Aaron Jones,-110,N/A,N/A,-125,N/A,N/A,-110
197,Justin Jefferson,100,N/A,N/A,100,N/A,N/A,100
198,Tony Pollard,185,N/A,N/A,160,N/A,N/A,185
199,Calvin Ridley,245,N/A,N/A,240,N/A,N/A,245
200,Jordan Addison,245,N/A,N/A,240,N/A,N/A,245
201,T.J. Hockenson,260,N/A,N/A,260,N/A,N/A,260
202,Cam Akers,320,N/A,N/A,300,N/A,N/A,320
203,Tyjae Spears,350,N/A,N/A,350,N/A,N/A,350
204,Minnesota Vikings D/ST,380,N/A,N/A,N/A,N/A,N/A,380
205,Nick Westbrook-Ikhine,400,N/A,N/A,400,N/A,N/A,400
206,Ty Chandler,425,N/A,N/A,400,N/A,N/A,425
207,Tennessee Titans D/ST,425,N/A,N/A,N/A,N/A,N/A,425
208,Tyler Boyd,450,N/A,N/A,450,N/A,N/A,450
209,Sam Darnold,450,N/A,N/A,450,N/A,N/A,450
210,Johnny Mundt,475,N/A,N/A,450,N/A,N/A,475
211,Will Levis,500,N/A,N/A,500,N/A,N/A,500
212,Chigoziem Okonkwo,550,N/A,N/A,550,N/A,N/A,550
213,Jalen Nailor,650,N/A,N/A,650,N/A,N/A,650
214,Josh Oliver,650,N/A,N/A,650,N/A,N/A,650
215,Josh Whyle,750,N/A,N/A,750,N/A,N/A,750
216,C.J. Ham,900,N/A,N/A,900,N/A,N/A,900
217,Nick Vannett,950,N/A,N/A,900,N/A,N/A,1000
218,Jha'Quan Jackson,950,N/A,N/A,900,N/A,N/A,1000
219,Julius Chestnut,1200,N/A,N/A,1100,N/A,N/A,1200
220,Brandon Powell,1300,N/A,N/A,1300,N/A,N/A,1300
221,Trent Sherfield,1800,N/A,N/A,1700,N/A,N/A,1800
222,Bijan Robinson,-140,N/A,N/A,-143,N/A,N/A,-141
223,Javonte Williams,125,N/A,N/A,120,N/A,N/A,125
224,Audric Estime,120,N/A,N/A,120,N/A,N/A,120
225,Drake London,140,N/A,N/A,140,N/A,N/A,140
226,Bo Nix,190,N/A,N/A,190,N/A,N/A,190
227,Darnell Mooney,175,N/A,N/A,170,N/A,N/A,175
228,Courtland Sutton,195,N/A,N/A,190,N/A,N/A,195
229,Tyler Allgeier,250,N/A,N/A,260,N/A,N/A,250
230,Kyle Pitts,255,N/A,N/A,250,N/A,N/A,255
231,Jaleel McLaughlin,310,N/A,N/A,300,N/A,N/A,310
232,Ray-Ray McCloud III,300,N/A,N/A,270,N/A,N/A,300
233,Devaughn Vele,360,N/A,N/A,350,N/A,N/A,360
234,Lil'Jordan Humphrey,400,N/A,N/A,400,N/A,N/A,400
235,Denver Broncos D/ST,425,N/A,N/A,N/A,N/A,N/A,425
236,Atlanta Falcons D/ST,450,N/A,N/A,N/A,N/A,N/A,450
237,Adam Trautman,550,N/A,N/A,550,N/A,N/A,550
238,Troy Franklin,475,N/A,N/A,450,N/A,N/A,475
239,Marvin Mims Jr.,550,N/A,N/A,550,N/A,N/A,550
240,Lucas Krull,600,N/A,N/A,600,N/A,N/A,600
241,Kirk Cousins,900,N/A,N/A,1100,N/A,N/A,900
242,KhaDarel Hodge,1000,N/A,N/A,1000,N/A,N/A,1000
243,Nate Adkins,1100,N/A,N/A,1100,N/A,N/A,1100
244,Jase McClellan,1400,N/A,N/A,1700,N/A,N/A,1400
245,Avery Williams,1400,N/A,N/A,1700,N/A,N/A,1400
246,Michael Burton,1900,N/A,N/A,N/A,N/A,N/A,1900
247,Charlie Woerner,1300,N/A,N/A,1300,N/A,N/A,1300
248,Casey Washington,1900,N/A,N/A,1900,N/A,N/A,1900
249,Ross Dwelley,2500,N/A,N/A,2400,N/A,N/A,2500
250,Christian McCaffrey,-235,N/A,N/A,-250,N/A,N/A,-240
251,Kenneth Walker III,-105,N/A,N/A,-111,N/A,N/A,-106
252,Deebo Samuel,130,N/A,N/A,120,N/A,N/A,130
253,George Kittle,125,N/A,N/A,120,N/A,N/A,125
254,Jauan Jennings,210,N/A,N/A,200,N/A,N/A,210
255,DK Metcalf,180,N/A,N/A,180,N/A,N/A,180
256,Ricky Pearsall,235,N/A,N/A,230,N/A,N/A,235
257,Brock Purdy,285,N/A,N/A,300,N/A,N/A,285
258,Jaxon Smith-Njigba,180,N/A,N/A,180,N/A,N/A,180
259,Jordan Mason,330,N/A,N/A,350,N/A,N/A,330
260,Tyler Lockett,240,N/A,N/A,240,N/A,N/A,240
261,Zach Charbonnet,320,N/A,N/A,300,N/A,N/A,320
262,AJ Barner,330,N/A,N/A,325,N/A,N/A,330
263,Noah Fant,425,N/A,N/A,400,N/A,N/A,425
264,Geno Smith,400,N/A,N/A,400,N/A,N/A,400
265,Jake Bobo,450,N/A,N/A,450,N/A,N/A,450
266,Seattle Seahawks D/ST,500,N/A,N/A,N/A,N/A,N/A,500
267,San Francisco 49ers D/ST,425,N/A,N/A,N/A,N/A,N/A,425
268,Kyle Juszczyk,650,N/A,N/A,650,N/A,N/A,650
269,Isaac Guerendo,650,N/A,N/A,700,N/A,N/A,650
270,Eric Saubert,750,N/A,N/A,700,N/A,N/A,750
271,Ronnie Bell,950,N/A,N/A,900,N/A,N/A,1000
272,Chris Conley,1200,N/A,N/A,1100,N/A,N/A,1200
273,Jacob Cowing,1200,N/A,N/A,1100,N/A,N/A,1200
274,Jake Tonges,1600,N/A,N/A,1400,N/A,N/A,1600
275,Brayden Willis,1600,N/A,N/A,1400,N/A,N/A,1600
276,Dareke Young,1400,N/A,N/A,1400,N/A,N/A,1400
277,Pharaoh Brown,1400,N/A,N/A,1400,N/A,N/A,1400
278,Laviska Shenault Jr,1300,N/A,N/A,1300,N/A,N/A,1300
279,Brady Russell,1600,N/A,N/A,1400,N/A,N/A,1600
280,Kenny McIntosh,2500,N/A,N/A,2400,N/A,N/A,2500
281,Kareem Hunt,-120,N/A,-120,-143,N/A,N/A,-121
282,James Cook,-115,N/A,100,-125,N/A,N/A,-115
283,Josh Allen,120,N/A,140,120,N/A,N/A,120
284,Travis Kelce,140,N/A,155,140,N/A,N/A,140
285,Amari Cooper,160,N/A,170,160,N/A,N/A,160
286,DeAndre Hopkins,190,N/A,170,190,N/A,N/A,190
287,Khalil Shakir,155,N/A,170,150,N/A,N/A,155
288,Dawson Knox,260,N/A,230,260,N/A,N/A,260
289,Dalton Kincaid,175,N/A,230,170,N/A,N/A,175
290,Mack Hollins,295,N/A,280,290,N/A,N/A,295
291,Xavier Worthy,240,N/A,280,240,N/A,N/A,240
292,JuJu Smith-Schuster,310,N/A,280,300,N/A,N/A,310
293,Curtis Samuel,370,N/A,370,350,N/A,N/A,370
294,Patrick Mahomes,400,N/A,450,400,N/A,N/A,400
295,Ray Davis,475,N/A,550,450,N/A,N/A,475
296,Noah Gray,600,N/A,550,600,N/A,N/A,600
297,Samaje Perine,750,N/A,700,600,N/A,N/A,750
298,Quintin Morris,650,N/A,750,650,N/A,N/A,650
299,Justin Watson,700,N/A,750,650,N/A,N/A,700
300,Ty Johnson,850,N/A,900,800,N/A,N/A,850
301,Mecole Hardman,800,N/A,1000,800,N/A,N/A,800
302,Carson Steele,700,N/A,1000,700,N/A,N/A,700
303,Jalen Virgil,1200,N/A,1600,1100,N/A,N/A,1200
304,Peyton Hendershot,1400,N/A,2400,1400,N/A,N/A,1400
305,Buffalo Bills D/ST,425,N/A,N/A,N/A,N/A,N/A,425
306,Kansas City Chiefs D/ST,475,N/A,N/A,N/A,N/A,N/A,475
307,Clyde Edwards-Helaire,700,N/A,N/A,700,N/A,N/A,700
308,Reggie Gilliam,1300,N/A,N/A,1300,N/A,N/A,1300
309,Chase Brown,-145,N/A,N/A,-167,N/A,N/A,-145
310,J.K. Dobbins,-110,N/A,N/A,-125,N/A,N/A,-110
311,Ja'Marr Chase,-110,N/A,N/A,-143,N/A,N/A,-110
312,Gus Edwards,210,N/A,N/A,210,N/A,N/A,210
313,Tee Higgins,170,N/A,N/A,170,N/A,N/A,170
314,Ladd McConkey,180,N/A,N/A,180,N/A,N/A,180
315,Quentin Johnston,205,N/A,N/A,200,N/A,N/A,205
316,Mike Gesicki,230,N/A,N/A,230,N/A,N/A,230
317,Will Dissly,310,N/A,N/A,300,N/A,N/A,310
318,Justin Herbert,360,N/A,N/A,350,N/A,N/A,360
319,Joshua Palmer,330,N/A,N/A,325,N/A,N/A,330
320,Andrei Iosivas,300,N/A,N/A,300,N/A,N/A,300
321,Khalil Herbert,340,N/A,N/A,N/A,N/A,N/A,340
322,Joe Burrow,475,N/A,N/A,450,N/A,N/A,475
323,Cincinnati Bengals D/ST,475,N/A,N/A,N/A,N/A,N/A,475
324,Hayden Hurst,500,N/A,N/A,500,N/A,N/A,500
325,Kimani Vidal,550,N/A,N/A,550,N/A,N/A,550
326,DJ Chark Jr.,550,N/A,N/A,N/A,N/A,N/A,550
327,Los Angeles Chargers D/ST,475,N/A,N/A,N/A,N/A,N/A,N/A
328,Jalen Reagor,550,N/A,N/A,550,N/A,N/A,550
329,Trayveon Williams,700,N/A,N/A,700,N/A,N/A,700
330,Tanner Hudson,550,N/A,N/A,550,N/A,N/A,550
331,Jermaine Burton,550,N/A,N/A,550,N/A,N/A,550
332,Drew Sample,750,N/A,N/A,750,N/A,N/A,750
333,Derius Davis,750,N/A,N/A,750,N/A,N/A,750
334,Trenton Irwin,900,N/A,N/A,900,N/A,N/A,900
335,Hassan Haskins,1200,N/A,N/A,1100,N/A,N/A,1200
336,Scott Matlock,1200,N/A,N/A,N/A,N/A,N/A,1200
337,Stone Smartt,1200,N/A,N/A,1100,N/A,N/A,1200
338,Tucker Fisk,1100,N/A,N/A,N/A,N/A,N/A,N/A
339,Tanner McLachlan,1600,N/A,N/A,1400,N/A,N/A,1600
340,Kendall Milton,1600,N/A,N/A,1400,N/A,N/A,1600
341,Joe Mixon,-205,N/A,N/A,-250,N/A,N/A,-205
342,Nico Collins,110,N/A,N/A,110,N/A,N/A,110
343,Tank Dell,145,N/A,N/A,140,N/A,N/A,145
344,Rico Dowdle,140,N/A,N/A,140,N/A,N/A,140
345,Dalton Schultz,215,N/A,N/A,210,N/A,N/A,215
346,CeeDee Lamb,195,N/A,N/A,190,N/A,N/A,195
347,Ezekiel Elliott,350,N/A,N/A,350,N/A,N/A,350
348,C.J. Stroud,425,N/A,N/A,400,N/A,N/A,425
349,Jalen Tolbert,330,N/A,N/A,325,N/A,N/A,330
350,Dare Ogunbowale,425,N/A,N/A,400,N/A,N/A,425
351,John Metchie III,425,N/A,N/A,400,N/A,N/A,425
352,Jake Ferguson,350,N/A,N/A,350,N/A,N/A,350
353,Xavier Hutchinson,425,N/A,N/A,400,N/A,N/A,425
354,Houston Texans D/ST,380,N/A,N/A,N/A,N/A,N/A,380
355,Robert Woods,550,N/A,N/A,550,N/A,N/A,550
356,Dallas Cowboys D/ST,475,N/A,N/A,N/A,N/A,N/A,475
357,Cade Stover,650,N/A,N/A,650,N/A,N/A,650
358,Jalen Brooks,600,N/A,N/A,600,N/A,N/A,600
359,Cooper Rush,1000,N/A,N/A,1000,N/A,N/A,1000
360,Jonathan Mingo,800,N/A,N/A,N/A,N/A,N/A,N/A
361,Teagan Quitoriano,1200,N/A,N/A,1100,N/A,N/A,1200
362,Deuce Vaughn,1400,N/A,N/A,1400,N/A,N/A,1400
363,Ryan Flournoy,1100,N/A,N/A,1100,N/A,N/A,1100
