Player,TD_Likelihood,Model_Odds,Favor
Greg Dortch,0.12,733.3333333333334,1
Marvin Harrison Jr.,0.36,177.77777777777777,1
Elijah Higgins,0.12,733.3333333333334,1
Zay Jones,0.01,9900.0,1
Trey McBride,0.38,163.15789473684208,1
Tip Reiman,0.01,9900.0,1
Michael Wilson,0.23,334.78260869565213,1
KhaDarel Hodge,0.09,1011.1111111111111,1
Drake London,0.29,244.82758620689657,1
Ray-Ray McCloud III,0.32,212.5,1
Darnell Mooney,0.26,284.6153846153846,1
Kyle Pitts,0.2,400.0,1
Casey Washington,0.06,1566.6666666666667,1
Charlie Woerner,0.12,733.3333333333334,1
Nelson Agholor,0.02,4900.0,1
Mark Andrews,0.34,194.11764705882354,1
Rashod Bateman,0.31,222.5806451612903,1
Zay Flowers,0.32,212.5,1
Isaiah Likely,0.15,566.6666666666667,1
Tylan Wallace,0.19,426.31578947368416,1
Keon Coleman,0.24,316.6666666666667,1
Amari Cooper,0.36,177.77777777777777,1
Mack Hollins,0.13,669.2307692307692,1
Dalton Kincaid,0.23,334.78260869565213,1
Dawson Knox,0.07,1328.5714285714284,1
Quintin Morris,0.08,1150.0,1
Curtis Samuel,0.24,316.6666666666667,1
Khalil Shakir,0.31,222.5806451612903,1
Jalen Coker,0.15,566.6666666666667,1
Xavier Legette,0.3,233.33333333333337,1
David Moore,0.13,669.2307692307692,1
Ja'Tavion Sanders,0.23,334.78260869565213,1
Adam Thielen,0.31,222.5806451612903,1
Deven Thompkins,0.04,2400.0,1
Tommy Tremble,0.23,334.78260869565213,1
Keenan Allen,0.41,143.90243902439025,1
DeAndre Carter,0.01,9900.0,1
Cole Kmet,0.34,194.11764705882354,1
DJ Moore,0.41,143.90243902439025,1
Rome Odunze,0.45,122.22222222222223,1
Jermaine Burton,0.05,1900.0,1
Ja'Marr Chase,0.42,138.0952380952381,1
Mike Gesicki,0.28,257.1428571428571,1
Tee Higgins,0.27,270.3703703703703,1
Tanner Hudson,0.1,900.0,1
Andrei Iosivas,0.11,809.0909090909091,1
Drew Sample,0.16,525.0,1
Isaiah Williams,0.04,2400.0,1
Jordan Akins,0.07,1328.5714285714284,1
Jerry Jeudy,0.22,354.54545454545456,1
Elijah Moore,0.5,-100.0,-1
David Njoku,0.23,334.78260869565213,1
Jamari Thrash,0.05,1900.0,1
Cedric Tillman,0.34,194.11764705882354,1
Blake Whiteheart,0.16,525.0,1
Michael Woods II,0.2,400.0,1
Jalen Brooks,0.12,733.3333333333334,1
Brandin Cooks,0.21,376.1904761904762,1
Jake Ferguson,0.16,525.0,1
Ryan Flournoy,0.05,1900.0,1
CeeDee Lamb,0.31,222.5806451612903,1
Jonathan Mingo,0.16,525.0,1
Luke Schoonmaker,0.22,354.54545454545456,1
Brevyn Spann-Ford,0.32,212.5,1
Jalen Tolbert,0.15,566.6666666666667,1
KaVontae Turpin,0.16,525.0,1
Nate Adkins,0.08,1150.0,1
Troy Franklin,0.03,3233.3333333333335,1
Lil'Jordan Humphrey,0.07,1328.5714285714284,1
Lucas Krull,0.11,809.0909090909091,1
Marvin Mims Jr.,0.27,270.3703703703703,1
Courtland Sutton,0.14,614.2857142857142,1
Adam Trautman,0.01,9900.0,1
Devaughn Vele,0.22,354.54545454545456,1
Sam LaPorta,0.27,270.3703703703703,1
Tim Patrick,0.14,614.2857142857142,1
Amon-Ra St. Brown,0.3,233.33333333333337,1
Jameson Williams,0.35,185.71428571428572,1
Brock Wright,0.13,669.2307692307692,1
Shane Zylstra,0.09,1011.1111111111111,1
Romeo Doubs,0.33,203.030303030303,1
Malik Heath,0.04,2400.0,1
Tucker Kraft,0.17,488.2352941176471,1
Jayden Reed,0.23,334.78260869565213,1
Ben Sims,0.03,3233.3333333333335,1
Christian Watson,0.15,566.6666666666667,1
Dontayvion Wicks,0.23,334.78260869565213,1
Nico Collins,0.56,-127.2727272727273,-1
Tank Dell,0.22,354.54545454545456,1
Xavier Hutchinson,0.12,733.3333333333334,1
John Metchie III,0.08,1150.0,1
Dalton Schultz,0.33,203.030303030303,1
Cade Stover,0.09,1011.1111111111111,1
Robert Woods,0.02,4900.0,1
Mo Alie-Cox,0.14,614.2857142857142,1
Josh Downs,0.24,316.6666666666667,1
Ashton Dulin,0.01,9900.0,1
Kylen Granson,0.07,1328.5714285714284,1
