Player,TD_Likelihood,Model_Odds,Favor
Greg Dortch,0.08,1150.0,1
Marvin Harrison Jr.,0.39,156.4102564102564,1
Elijah Higgins,0.04,2400.0,1
Zay Jones,0.12,733.3333333333334,1
Trey McBride,0.42,138.0952380952381,1
Tip Reiman,0.18,455.55555555555554,1
Michael Wilson,0.23,334.78260869565213,1
Chris Blair,0.06,1566.6666666666667,1
KhaDarel Hodge,0.01,9900.0,1
Drake London,0.18,455.55555555555554,1
Ray-Ray McCloud III,0.24,316.6666666666667,1
Darnell Mooney,0.45,122.22222222222223,1
Kyle Pitts,0.17,488.2352941176471,1
Casey Washington,0.11,809.0909090909091,1
Charlie Woerner,0.18,455.55555555555554,1
Nelson Agholor,0.1,900.0,1
Mark Andrews,0.46,117.39130434782606,1
Rashod Bateman,0.21,376.1904761904762,1
Zay Flowers,0.42,138.0952380952381,1
Isaiah Likely,0.13,669.2307692307692,1
Devontez Walker,0.09,1011.1111111111111,1
Tylan Wallace,0.15,566.6666666666667,1
Keon Coleman,0.18,455.55555555555554,1
Amari Cooper,0.38,163.15789473684208,1
Mack Hollins,0.06,1566.6666666666667,1
Dalton Kincaid,0.17,488.2352941176471,1
Dawson Knox,0.08,1150.0,1
Quintin Morris,0.02,4900.0,1
Curtis Samuel,0.08,1150.0,1
Khalil Shakir,0.19,426.31578947368416,1
Dan Chisena,0.1,900.0,1
Jalen Coker,0.26,284.6153846153846,1
Feleipe Franks,0.01,9900.0,1
Velus Jones Jr.,0.01,9900.0,1
Xavier Legette,0.19,426.31578947368416,1
David Moore,0.09,1011.1111111111111,1
Ja'Tavion Sanders,0.04,2400.0,1
Adam Thielen,0.23,334.78260869565213,1
Deven Thompkins,0.01,9900.0,1
Tommy Tremble,0.09,1011.1111111111111,1
Keenan Allen,0.28,257.1428571428571,1
Gerald Everett,0.09,1011.1111111111111,1
Cole Kmet,0.14,614.2857142857142,1
DJ Moore,0.43,132.55813953488374,1
Rome Odunze,0.28,257.1428571428571,1
Jermaine Burton,0.03,3233.3333333333335,1
Ja'Marr Chase,0.57,-132.5581395348837,-1
Mike Gesicki,0.15,566.6666666666667,1
