,Player,Model_Odds,Favor,FanDuel,Difference,Model_Probability,FanDuel_Probability,Weight,WeightedValue
208,Pat Freiermuth,177.77777777777777,1,360.0,-182.22222222222223,0.36,0.21739130434782608,0.64,-0.0912695652173913
102,Dalton Schultz,222.5806451612903,1,370.0,-147.4193548387097,0.31,0.2127659574468085,0.69,-0.06709148936170212
226,Noah Fant,270.3703703703703,1,410.0,-139.62962962962968,0.27,0.19607843137254902,0.73,-0.05396274509803923
130,Xavier Worthy,185.7142857142857,1,260.0,-74.2857142857143,0.35000000000000003,0.2777777777777778,0.6499999999999999,-0.04694444444444445
227,Tyler Lockett,316.6666666666667,1,460.0,-143.33333333333331,0.24,0.17857142857142858,0.76,-0.046685714285714275
124,Noah Gray,400.0,1,600.0,-200.0,0.2,0.14285714285714285,0.8,-0.045714285714285735
126,DeAndre Hopkins,203.030303030303,1,280.0,-76.969696969697,0.33,0.2631578947368421,0.6699999999999999,-0.04478421052631581
43,DJ Moore,132.55813953488374,1,180.0,-47.441860465116264,0.43,0.35714285714285715,0.5700000000000001,-0.04152857142857142
16,Mark Andrews,117.39130434782606,1,155.0,-37.608695652173935,0.46,0.39215686274509803,0.54,-0.03663529411764708
44,Rome Odunze,257.1428571428571,1,270.0,-12.85714285714289,0.28,0.2702702702702703,0.72,-0.007005405405405413
207,Calvin Austin III,488.2352941176471,1,490.0,-1.7647058823529278,0.16999999999999998,0.1694915254237288,0.8300000000000001,-0.00042203389830507815
