,Player,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
118,Tampa Bay Buccaneers D/ST,450,N/A,N/A,N/A,N/A,450
119,Las Vegas Raiders D/ST,500,N/A,N/A,N/A,N/A,500
120,Trey Palmer,700,N/A,700,N/A,N/A,650
121,Rakim Jarrett,700,N/A,700,N/A,N/A,700
122,DJ Turner,550,N/A,N/A,N/A,N/A,500
123,Dylan Laube,500,N/A,500,N/A,N/A,500
124,Michael Mayer,600,N/A,600,N/A,N/A,600
125,Terrace Marshall Jr.,600,N/A,600,N/A,N/A,600
126,Aidan O'Connell,800,N/A,800,N/A,N/A,850
127,Payne Durham,1000,N/A,1000,N/A,N/A,1000
128,Ryan Miller,1100,N/A,1100,N/A,N/A,1100
129,Ko Kieft,1400,N/A,1400,N/A,N/A,1400
130,Ramel Keyton,1000,N/A,1000,N/A,N/A,1100
131,Justin Shorter,1600,N/A,1400,N/A,N/A,1600
132,De'Von Achane,-170,-140,-200,N/A,-185,-170
133,Tyreek Hill,115,115,110,N/A,125,115
134,Breece Hall,110,115,110,N/A,115,110
135,Braelon Allen,145,115,140,N/A,150,145
136,Jonnu Smith,175,190,170,N/A,180,175
137,Davante Adams,160,175,160,N/A,170,160
138,Jaylen Waddle,195,195,190,N/A,210,195
139,Garrett Wilson,175,200,170,N/A,175,175
140,Raheem Mostert,330,320,325,N/A,333,330
141,Tyler Conklin,310,550,300,N/A,450,310
142,Tua Tagovailoa,500,800,500,N/A,900,500
143,Isaiah Davis,400,430,400,N/A,500,400
144,Miami Dolphins D/ST,425,N/A,N/A,N/A,500,425
145,Jaylen Wright,550,950,550,N/A,700,550
146,New York Jets D/ST,500,N/A,N/A,N/A,600,500
147,Malachi Corley,475,470,450,N/A,600,475
148,Malik Washington,650,550,650,N/A,700,650
149,Kene Nwangwu,700,1000,700,N/A,900,N/A
150,Alec Ingold,950,1100,900,N/A,1200,1000
151,Odell Beckham Jr.,850,850,800,N/A,850,850
152,Xavier Gipson,650,1200,650,N/A,900,650
153,Aaron Rodgers,850,1200,800,N/A,1200,850
154,Jeremy Ruckert,1000,1200,1000,N/A,1200,1000
155,River Cracraft,1400,1800,1400,N/A,1600,1400
156,Jeff Wilson Jr.,1900,2800,1900,N/A,2200,1900
157,Kenny Yeboah,1500,2500,1400,N/A,1800,1500
158,Irvin Charles,1600,2900,1400,N/A,2200,1600
159,Jack Stoll,2200,N/A,1900,N/A,2500,2200
160,Durham Smythe,2000,1900,1900,N/A,2500,2000
161,Dee Eskridge,2200,N/A,1900,N/A,2500,2200
162,Julian Hill,2200,1500,1900,N/A,2200,2200
163,Alvin Kamara,-190,-210,-200,-250,-190,-190
164,Tyrone Tracy Jr.,120,105,120,-118,140,140
165,Malik Nabers,205,230,200,160,185,180
166,Marquez Valdes-Scantling,220,270,220,215,225,225
167,Kendre Miller,310,360,N/A,300,450,295
168,Darius Slayton,285,480,280,325,400,235
169,Wan'Dale Robinson,310,230,300,320,350,310
170,Devin Singletary,340,330,325,300,375,370
171,Kevin Austin,340,370,N/A,330,375,350
172,Juwan Johnson,330,310,325,295,350,340
173,Drew Lock,450,550,450,420,700,550
174,New York Giants D/ST,450,N/A,N/A,N/A,650,475
175,New Orleans Saints D/ST,390,N/A,N/A,N/A,600,400
176,Dante Pettis,500,1200,N/A,1050,1000,500
177,Foster Moreau,500,390,500,430,550,550
178,Jamaal Williams,600,360,600,335,600,600
179,Cedrick Wilson Jr.,650,750,650,420,700,650
180,Jordan Mims,700,1000,700,1150,900,700
181,Bub Means,700,370,N/A,420,N/A,650
182,Jalin Hyatt,700,700,700,1500,800,1400
183,Daniel Bellinger,700,500,N/A,750,1100,N/A
184,Derek Carr,900,950,900,950,1100,900
185,Dallin Holker,950,1300,900,1800,1200,1000
186,Greg Dulcich,900,500,900,850,1300,N/A
187,Adam Prentice,1100,2000,1100,1300,1300,1100
188,Ihmir Smith-Marsette,1400,1600,1400,2000,1800,3000
189,Bryce Ford-Wheaton,1600,1600,N/A,2200,2800,2500
190,Eric Gray,1800,1800,1700,1700,2000,1800
191,Chris Manhertz,3000,850,2900,1300,2800,2800
192,James Conner,-160,N/A,-167,-205,-160,-159
193,Kenneth Walker III,-115,N/A,-125,-130,-110,-115
194,Marvin Harrison Jr.,165,N/A,160,128,170,165
195,Trey McBride,205,N/A,200,148,200,205
196,DK Metcalf,175,N/A,170,130,185,175
197,Jaxon Smith-Njigba,175,N/A,170,135,185,175
198,Kyler Murray,250,N/A,250,190,260,250
199,Michael Wilson,310,N/A,300,245,310,310
200,Zach Charbonnet,310,N/A,300,210,310,310
201,Trey Benson,425,N/A,400,390,450,425
202,Tyler Lockett,330,N/A,325,295,310,330
203,Geno Smith,425,N/A,400,475,500,425
204,Arizona Cardinals D/ST,450,N/A,N/A,N/A,550,450
205,Seattle Seahawks D/ST,450,N/A,N/A,N/A,550,450
206,Noah Fant,550,N/A,550,370,550,550
207,AJ Barner,550,N/A,550,800,600,550
208,Greg Dortch,750,N/A,750,750,750,750
209,Zay Jones,750,N/A,750,1200,750,750
210,Elijah Higgins,850,N/A,800,850,750,850
211,Emari Demercado,800,N/A,800,1150,850,800
212,Jake Bobo,900,N/A,900,1150,1000,900
213,Tip Reiman,1400,N/A,1400,1700,1500,1400
214,Kenny McIntosh,1600,N/A,1400,2200,2200,1600
215,DeeJay Dallas,1500,N/A,1400,1300,1600,1500
216,Pharaoh Brown,1400,N/A,1400,2000,1500,1400
217,Zach Pascal,1900,N/A,1900,1100,2200,1900
218,Laviska Shenault Jr,2000,N/A,N/A,N/A,N/A,2000
219,Brady Russell,3500,N/A,3400,1600,3000,3500
220,Travis Vokolek,2500,N/A,2400,2200,3000,2500
221,Kyren Williams,-175,-140,-200,-265,-175,-176
222,James Cook,-145,-110,-167,-150,-125,-145
223,Josh Allen,-110,120,-111,-121,110,-110
224,Amari Cooper,165,210,160,185,165,165
225,Cooper Kupp,145,145,140,-104,155,145
226,Puka Nacua,145,135,140,102,155,145
227,Khalil Shakir,205,210,200,165,190,205
228,Keon Coleman,205,210,N/A,200,N/A,205
229,Dawson Knox,200,210,200,215,220,200
230,Dalton Kincaid,210,210,N/A,185,275,210
231,Ray Davis,300,470,300,375,350,300
232,Mack Hollins,255,280,250,270,250,255
233,Demarcus Robinson,320,340,300,260,350,320
234,Blake Corum,370,500,350,420,400,370
235,Curtis Samuel,400,360,400,400,333,400
236,Colby Parkinson,425,650,400,550,650,425
237,Ty Johnson,550,750,550,700,550,550
238,Los Angeles Rams D/ST,550,N/A,N/A,N/A,600,N/A
239,Buffalo Bills D/ST,450,N/A,N/A,N/A,550,450
240,Davis Allen,500,800,500,750,750,500
241,Jordan Whittington,700,1000,700,900,1000,700
242,Matthew Stafford,850,2800,800,1150,1400,850
243,Tutu Atwell,850,650,800,600,800,850
244,Quintin Morris,950,1600,900,1150,900,1000
245,Ronnie Rivers,1200,3400,1100,1700,1500,1200
246,Tyler Johnson,1000,1000,1000,950,1000,1000
247,Jalen Virgil,1200,2300,1100,1400,1100,1200
248,Xavier Smith,1500,2600,1400,1500,1800,1500
249,Reggie Gilliam,2000,4100,1900,2200,1800,2000
250,Cody Schrader,1700,N/A,1700,1900,2500,1700
251,Hunter Long,1300,800,1300,2500,1500,1300
252,Isaac Guerendo,-140,-145,-143,N/A,N/A,-141
253,D'Andre Swift,100,110,100,N/A,N/A,100
254,Deebo Samuel,175,160,170,N/A,N/A,165
255,George Kittle,175,165,170,N/A,N/A,170
256,Roschon Johnson,240,N/A,240,N/A,N/A,250
257,Travis Homer,250,N/A,250,N/A,N/A,240
258,Jauan Jennings,230,210,230,N/A,N/A,215
259,Keenan Allen,200,150,200,N/A,N/A,200
260,DJ Moore,205,150,200,N/A,N/A,205
261,Patrick Taylor,390,350,N/A,N/A,N/A,390
262,Rome Odunze,250,230,250,N/A,N/A,250
263,Israel Abanikanda,400,350,N/A,N/A,N/A,N/A
264,Caleb Williams,280,340,280,N/A,N/A,265
265,Cole Kmet,280,250,280,N/A,N/A,295
