team_id,playerId,firstName,lastName,fullName,displayName,weight,height,age,position,activestatus,headshot,exp
33,3917960,Steven,Sims,Steven Sims,Steven Sims,190,70,27.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/3917960.png,4
33,4428763,Dayton,Wade,Dayton Wade,Dayton Wade,184,69,24.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4428763.png,0
33,4696882,Devontez,Walker,Devontez Walker,Devontez Walker,198,73,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4696882.png,0
33,4241424,Tylan,Wallace,Tylan Wallace,Tylan Wallace,202,71,25.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4241424.png,4
33,3919557,Scotty,Washington,Scotty Washington,Scotty Washington,242,77,27.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/3919557.png,1
2,4635008,Keon,Coleman,Keon Coleman,Keon Coleman,215,76,21.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4635008.png,0
2,2976499,Amari,Cooper,Amari Cooper,Amari Cooper,210,73,30.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/2976499.png,10
2,4746079,Zach,Davidson,Zach Davidson,Zach Davidson,251,79,26.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/4746079.png,2
2,2991662,Mack,Hollins,Mack Hollins,Mack Hollins,221,76,31.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png,8
2,4385690,Dalton,Kincaid,Dalton Kincaid,Dalton Kincaid,240,76,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4385690.png,2
2,3930086,Dawson,Knox,Dawson Knox,Dawson Knox,254,76,28.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3930086.png,6
2,4244049,Quintin,Morris,Quintin Morris,Quintin Morris,252,74,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4244049.png,3
2,3121427,Curtis,Samuel,Curtis Samuel,Curtis Samuel,195,71,28.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/3121427.png,8
2,4373678,Khalil,Shakir,Khalil Shakir,Khalil Shakir,190,72,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png,3
2,4241476,Tyrell,Shavers,Tyrell Shavers,Tyrell Shavers,211,76,25.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4241476.png,1
2,4036448,Jalen,Virgil,Jalen Virgil,Jalen Virgil,210,73,26.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4036448.png,3
29,3929637,Dan,Chisena,Dan Chisena,Dan Chisena,202,75,27.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/3929637.png,4
29,4695883,Jalen,Coker,Jalen Coker,Jalen Coker,213,75,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4695883.png,0
29,4036129,Dominique,Dafney,Dominique Dafney,Dominique Dafney,235,75,27.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/4036129.png,3
29,4034948,Feleipe,Franks,Feleipe Franks,Feleipe Franks,228,78,27.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4034948.png,4
29,3931391,Trenton,Irwin,Trenton Irwin,Trenton Irwin,200,73,29.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/3931391.png,5
29,4035693,Velus,Jones Jr.,Velus Jones Jr.,Velus Jones Jr.,200,72,27.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4035693.png,3
29,4430034,Xavier,Legette,Xavier Legette,Xavier Legette,227,75,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4430034.png,0
29,4370162,T.J.,Luther,T.J. Luther,T.J. Luther,189,71,24.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4370162.png,1
29,16763,Jordan,Matthews,Jordan Matthews,Jordan Matthews,236,75,32.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/16763.png,8
29,4373642,Dax,Milne,Dax Milne,Dax Milne,190,73,25.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4373642.png,4
29,4212909,David,Moore,David Moore,David Moore,220,72,29.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4212909.png,6
29,5215426,Praise,Olatoke,Praise Olatoke,Praise Olatoke,205,74,24.0,WR,29,,0
29,4431588,Ja'Tavion,Sanders,Ja'Tavion Sanders,Ja'Tavion Sanders,252,76,21.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4431588.png,0
29,4035426,Stephen,Sullivan,Stephen Sullivan,Stephen Sullivan,245,77,28.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4035426.png,3
29,16460,Adam,Thielen,Adam Thielen,Adam Thielen,195,74,34.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/16460.png,11
29,4045305,Ian,Thomas,Ian Thomas,Ian Thomas,260,76,28.0,TE,13,https://a.espncdn.com/i/headshots/nfl/players/full/4045305.png,7
29,4374187,Deven,Thompkins,Deven Thompkins,Deven Thompkins,155,68,25.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4374187.png,3
29,4372780,Tommy,Tremble,Tommy Tremble,Tommy Tremble,250,76,24.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4372780.png,4
3,15818,Keenan,Allen,Keenan Allen,Keenan Allen,211,74,32.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/15818.png,12
3,3948283,Stephen,Carlson,Stephen Carlson,Stephen Carlson,240,76,28.0,TE,13,https://a.espncdn.com/i/headshots/nfl/players/full/3948283.png,3
3,2580216,DeAndre,Carter,DeAndre Carter,DeAndre Carter,190,68,31.0,WR,13,https://a.espncdn.com/i/headshots/nfl/players/full/2580216.png,7
3,3918639,Gerald,Everett,Gerald Everett,Gerald Everett,245,75,30.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3918639.png,8
3,4569510,John,Jackson III,John Jackson III,John Jackson III,215,73,25.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4569510.png,0
3,4039043,Collin,Johnson,Collin Johnson,Collin Johnson,222,78,27.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4039043.png,4
3,4258595,Cole,Kmet,Cole Kmet,Cole Kmet,260,78,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4258595.png,5
3,9614,Marcedes,Lewis,Marcedes Lewis,Marcedes Lewis,267,78,40.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/9614.png,19
3,3915416,DJ,Moore,DJ Moore,DJ Moore,210,71,27.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/3915416.png,7
3,4431299,Rome,Odunze,Rome Odunze,Rome Odunze,215,75,22.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4431299.png,0
3,4565908,Tyler,Scott,Tyler Scott,Tyler Scott,185,71,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4565908.png,2
3,3122818,Tommy,Sweeney,Tommy Sweeney,Tommy Sweeney,255,77,29.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/3122818.png,6
3,4027873,Samori,Toure,Samori Toure,Samori Toure,191,73,26.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4027873.png,3
3,3119317,Nsimba,Webster,Nsimba Webster,Nsimba Webster,180,70,28.0,WR,13,https://a.espncdn.com/i/headshots/nfl/players/full/3119317.png,4
3,4362570,Joel,Wilson,Joel Wilson,Joel Wilson,250,76,24.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/4362570.png,1
4,4427834,Erick,All Jr.,Erick All Jr.,Erick All Jr.,253,77,24.0,TE,13,https://a.espncdn.com/i/headshots/nfl/players/full/4427834.png,0
4,5192448,Cole,Burgess,Cole Burgess,Cole Burgess,192,73,24.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/5192448.png,0
4,4429033,Jermaine,Burton,Jermaine Burton,Jermaine Burton,200,72,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4429033.png,0
4,4362628,Ja'Marr,Chase,Ja'Marr Chase,Ja'Marr Chase,201,72,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4362628.png,4
4,3116164,Mike,Gesicki,Mike Gesicki,Mike Gesicki,252,78,29.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3116164.png,7
4,4700712,Cam,Grandy,Cam Grandy,Cam Grandy,253,77,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4700712.png,0
4,4239993,Tee,Higgins,Tee Higgins,Tee Higgins,219,76,25.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4239993.png,5
4,3050481,Tanner,Hudson,Tanner Hudson,Tanner Hudson,239,77,30.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3050481.png,5
4,4368003,Andrei,Iosivas,Andrei Iosivas,Andrei Iosivas,205,75,25.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4368003.png,2
4,4257188,Charlie,Jones,Charlie Jones,Charlie Jones,183,72,26.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4257188.png,2
4,4384171,Tanner,McLachlan,Tanner McLachlan,Tanner McLachlan,244,77,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4384171.png,0
4,4035776,Kendric,Pryor,Kendric Pryor,Kendric Pryor,189,71,26.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/4035776.png,2
4,3127310,Drew,Sample,Drew Sample,Drew Sample,255,77,28.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3127310.png,6
4,4569371,Isaiah,Williams,Isaiah Williams,Isaiah Williams,185,70,23.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4569371.png,0
5,3128452,Jordan,Akins,Jordan Akins,Jordan Akins,245,76,32.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3128452.png,7
5,4362603,Brenden,Bates,Brenden Bates,Brenden Bates,255,77,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4362603.png,0
5,4570409,David,Bell,David Bell,David Bell,212,73,24.0,WR,13,https://a.espncdn.com/i/headshots/nfl/players/full/4570409.png,3
5,5065495,Kaden,Davis,Kaden Davis,Kaden Davis,193,73,26.0,WR,29,https://a.espncdn.com/i/headshots/nfl/players/full/5065495.png,1
5,4361351,Jaelen,Gill,Jaelen Gill,Jaelen Gill,185,72,25.0,WR,29,,0
5,4241463,Jerry,Jeudy,Jerry Jeudy,Jerry Jeudy,195,73,25.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4241463.png,5
5,4372026,Cameron,Latu,Cameron Latu,Cameron Latu,245,77,24.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/4372026.png,2
5,4240023,Tre',McKitty,Tre' McKitty,Tre' McKitty,246,76,25.0,TE,29,https://a.espncdn.com/i/headshots/nfl/players/full/4240023.png,3
5,4372414,Elijah,Moore,Elijah Moore,Elijah Moore,180,70,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4372414.png,4
5,3123076,David,Njoku,David Njoku,David Njoku,246,76,28.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/3123076.png,8
5,3916204,James,Proche II,James Proche II,James Proche II,193,71,28.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/3916204.png,5
5,3046704,Geoff,Swaim,Geoff Swaim,Geoff Swaim,260,76,31.0,TE,13,https://a.espncdn.com/i/headshots/nfl/players/full/3046704.png,10
5,4428678,Jamari,Thrash,Jamari Thrash,Jamari Thrash,190,72,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4428678.png,0
5,4369863,Cedric,Tillman,Cedric Tillman,Cedric Tillman,215,75,24.0,WR,13,https://a.espncdn.com/i/headshots/nfl/players/full/4369863.png,2
5,4362018,Blake,Whiteheart,Blake Whiteheart,Blake Whiteheart,250,76,24.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4362018.png,2
5,4360174,Michael,Woods II,Michael Woods II,Michael Woods II,204,73,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4360174.png,2
6,4692835,Jalen,Brooks,Jalen Brooks,Jalen Brooks,205,74,24.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/4692835.png,2
6,16731,Brandin,Cooks,Brandin Cooks,Brandin Cooks,189,70,31.0,WR,1,https://a.espncdn.com/i/headshots/nfl/players/full/16731.png,11
6,4242442,Princeton,Fant,Princeton Fant,Princeton Fant,235,74,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4242442.png,1
6,4242355,Jake,Ferguson,Jake Ferguson,Jake Ferguson,244,77,25.0,TE,1,https://a.espncdn.com/i/headshots/nfl/players/full/4242355.png,3
