,Unnamed: 0,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
114,114,Travis Kelce,0.27,270.3703703703703,1,140.0,145.0,140.0,120.0,135.0,140.0
101,101,Alec Pierce,0.26,284.6153846153846,1,,,,,,
10,10,Darnell Mooney,0.26,284.6153846153846,1,215.0,250.0,210.0,175.0,225.0,215.0
229,229,Dyami Brown,0.25,300.0,1,,,,,,
143,143,Tyreek Hill,0.25,300.0,1,115.0,115.0,110.0,,125.0,115.0
210,210,DK Metcalf,0.25,300.0,1,175.0,,170.0,130.0,185.0,175.0
200,200,Jauan Jennings,0.24,316.6666666666667,1,230.0,210.0,230.0,,,215.0
20,20,Keon Coleman,0.24,316.6666666666667,1,205.0,210.0,,200.0,,205.0
95,95,Josh Downs,0.24,316.6666666666667,1,,,,,,
203,203,Deebo Samuel Sr.,0.24,316.6666666666667,1,,,,,,
26,26,Curtis Samuel,0.24,316.6666666666667,1,400.0,360.0,400.0,400.0,333.0,400.0
149,149,Jordan Addison,0.23,334.78260869565213,1,180.0,210.0,180.0,135.0,200.0,180.0
6,6,Michael Wilson,0.23,334.78260869565213,1,310.0,,300.0,245.0,310.0,310.0
86,86,Dontayvion Wicks,0.23,334.78260869565213,1,,,,,,
83,83,Jayden Reed,0.23,334.78260869565213,1,,,,,,
157,157,Kendrick Bourne,0.23,334.78260869565213,1,,,,,,
23,23,Dalton Kincaid,0.23,334.78260869565213,1,210.0,210.0,,185.0,275.0,210.0
31,31,Ja'Tavion Sanders,0.23,334.78260869565213,1,450.0,,450.0,510.0,450.0,390.0
34,34,Tommy Tremble,0.23,334.78260869565213,1,450.0,850.0,450.0,600.0,550.0,450.0
51,51,David Njoku,0.23,334.78260869565213,1,225.0,240.0,220.0,,225.0,225.0
186,186,Dallas Goedert,0.22,354.54545454545456,1,,,,,,
73,73,Devaughn Vele,0.22,354.54545454545456,1,,,,,,
88,88,Tank Dell,0.22,354.54545454545456,1,,,,,,
104,104,Evan Engram,0.22,354.54545454545456,1,270.0,330.0,270.0,270.0,275.0,270.0
49,49,Jerry Jeudy,0.22,354.54545454545456,1,185.0,210.0,180.0,,175.0,185.0
191,191,Pat Freiermuth,0.22,354.54545454545456,1,300.0,300.0,300.0,,275.0,300.0
62,62,Luke Schoonmaker,0.22,354.54545454545456,1,310.0,1000.0,300.0,475.0,,
122,122,Jakobi Meyers,0.22,354.54545454545456,1,185.0,,180.0,,,180.0
57,57,Brandin Cooks,0.21,376.1904761904762,1,285.0,350.0,280.0,295.0,,285.0
164,164,Taysom Hill,0.2,400.0,1,,,,,,
55,55,Michael Woods II,0.2,400.0,1,700.0,600.0,,,750.0,
188,188,DeVonta Smith,0.2,400.0,1,160.0,185.0,160.0,148.0,175.0,160.0
11,11,Kyle Pitts,0.2,400.0,1,320.0,330.0,300.0,260.0,350.0,320.0
192,192,Van Jefferson,0.2,400.0,1,500.0,360.0,500.0,,600.0,500.0
220,220,Sterling Shepard,0.2,400.0,1,225.0,,220.0,,,220.0
183,183,Grant Calcaterra,0.2,400.0,1,285.0,490.0,280.0,270.0,400.0,275.0
125,125,Will Dissly,0.19,426.31578947368416,1,330.0,280.0,325.0,300.0,350.0,330.0
180,180,Garrett Wilson,0.19,426.31578947368416,1,175.0,200.0,170.0,,175.0,175.0
19,19,Tylan Wallace,0.19,426.31578947368416,1,,,,,,
153,153,Jalen Nailor,0.18,455.55555555555554,1,425.0,550.0,400.0,460.0,500.0,425.0
218,218,Cade Otton,0.18,455.55555555555554,1,155.0,,150.0,,,155.0
