,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM
129,Erik Ezukanma,0.64,-177.77777777777777,-1,,,,,
92,Michael Pittman Jr.,0.58,-138.09523809523807,-1,,,,,
38,Tee Higgins,0.54,-117.3913043478261,-1,110,-115,110,-107,110
36,Ja'Marr Chase,0.54,-117.3913043478261,-1,-135,-150,-143,-152,-135
124,Puka Nacua,0.53,-112.76595744680851,-1,,,,,
63,Sam LaPorta,0.52,-108.33333333333334,-1,125,170,120,150,N/A
3,Trey McBride,0.51,-104.08163265306122,-1,,,,,
161,Davante Adams,0.51,-104.08163265306122,-1,N/A,N/A,N/A,N/A,N/A
9,Darnell Mooney,0.51,-104.08163265306122,-1,N/A,N/A,N/A,N/A,N/A
191,Jaxon Smith-Njigba,0.5,-100.0,-1,,,,,
91,Alec Pierce,0.49,104.08163265306123,1,,,,,
137,T.J. Hockenson,0.49,104.08163265306123,1,160,175,160,195,N/A
138,Justin Jefferson,0.49,104.08163265306123,1,-125,-110,-125,-115,N/A
86,Josh Downs,0.48,108.33333333333334,1,,,,,
66,Amon-Ra St. Brown,0.48,108.33333333333334,1,100,-120,100,-118,N/A
45,David Njoku,0.46,117.39130434782606,1,475,N/A,N/A,N/A,N/A
211,Terry McLaurin,0.41,143.90243902439025,1,N/A,N/A,N/A,N/A,N/A
7,Drake London,0.4,150.0,1,N/A,N/A,N/A,N/A,N/A
77,Christian Watson,0.4,150.0,1,N/A,N/A,N/A,N/A,N/A
31,Keenan Allen,0.4,150.0,1,N/A,N/A,N/A,N/A,N/A
43,Jerry Jeudy,0.4,150.0,1,275,N/A,270,N/A,N/A
202,Chig Okonkwo,0.39,156.4102564102564,1,,,,,
132,Jonnu Smith,0.39,156.4102564102564,1,N/A,N/A,N/A,N/A,N/A
44,Elijah Moore,0.38,163.15789473684208,1,475,N/A,450,N/A,N/A
159,Wan'Dale Robinson,0.38,163.15789473684208,1,,,,,
24,Khalil Shakir,0.37,170.27027027027026,1,,,,,
70,Romeo Doubs,0.35,185.71428571428572,1,N/A,N/A,N/A,N/A,N/A
190,DK Metcalf,0.34,194.11764705882354,1,,,,,
13,Mark Andrews,0.34,194.11764705882354,1,145,N/A,140,N/A,N/A
79,Nico Collins,0.34,194.11764705882354,1,,,,,
183,George Kittle,0.34,194.11764705882354,1,,,,,
67,Jameson Williams,0.34,194.11764705882354,1,110,125,110,125,N/A
163,Allen Lazard,0.34,194.11764705882354,1,N/A,N/A,N/A,N/A,N/A
172,Pat Freiermuth,0.34,194.11764705882354,1,290,310,290,205,250
170,DeVonta Smith,0.33,203.030303030303,1,,,,,
127,River Cracraft,0.32,212.5,1,N/A,N/A,N/A,N/A,N/A
131,Tyreek Hill,0.32,212.5,1,N/A,N/A,N/A,N/A,N/A
20,Dalton Kincaid,0.32,212.5,1,,,,,
135,Jaylen Waddle,0.32,212.5,1,N/A,N/A,N/A,N/A,N/A
60,Courtland Sutton,0.31,222.5806451612903,1,115,N/A,N/A,N/A,N/A
35,DJ Moore,0.31,222.5806451612903,1,N/A,N/A,N/A,N/A,N/A
171,Calvin Austin III,0.31,222.5806451612903,1,320,330,300,285,300
182,Jauan Jennings,0.31,222.5806451612903,1,,,,,
145,Kayshon Boutte,0.31,222.5806451612903,1,,,,,
28,Adam Thielen,0.3,233.33333333333337,1,N/A,N/A,N/A,N/A,N/A
189,Tyler Lockett,0.3,233.33333333333337,1,,,,,
15,Zay Flowers,0.3,233.33333333333337,1,155,N/A,150,N/A,N/A
203,Calvin Ridley,0.3,233.33333333333337,1,,,,,
184,Deebo Samuel Sr.,0.29,244.82758620689657,1,,,,,
75,Jayden Reed,0.29,244.82758620689657,1,N/A,N/A,N/A,N/A,N/A
109,Jakobi Meyers,0.29,244.82758620689657,1,,,,,
122,Cooper Kupp,0.29,244.82758620689657,1,,,,,
103,Travis Kelce,0.28,257.1428571428571,1,,,,,
162,Tyler Conklin,0.28,257.1428571428571,1,N/A,N/A,N/A,N/A,N/A
14,Rashod Bateman,0.28,257.1428571428571,1,215,N/A,N/A,N/A,N/A
18,Amari Cooper,0.28,257.1428571428571,1,,,,,
167,A.J. Brown,0.28,257.1428571428571,1,,,,,
54,Jalen Tolbert,0.27,270.3703703703703,1,N/A,N/A,N/A,N/A,N/A
197,Cade Otton,0.27,270.3703703703703,1,N/A,N/A,N/A,N/A,N/A
126,Demarcus Robinson,0.27,270.3703703703703,1,,,,,
160,Darius Slayton,0.27,270.3703703703703,1,,,,,
147,Hunter Henry,0.26,284.6153846153846,1,,,,,
16,Isaiah Likely,0.26,284.6153846153846,1,240,N/A,N/A,N/A,N/A
83,Dalton Schultz,0.26,284.6153846153846,1,,,,,
