,Player,Model_Odds,Favor,Bovada,Difference,Model_Probability,Bovada_Probability,Weight,WeightedValue
160,Jordan Whittington,127.27272727272728,1,1300.0,-1172.7272727272727,0.44,0.07142857142857142,0.56,-0.2064
156,Cooper Kupp,122.22222222222224,1,145.0,-22.777777777777757,0.45,0.40816326530612246,0.55,-0.023010204081632655
154,Tutu Atwell,400.0,1,450.0,-50.0,0.2,0.18181818181818182,0.8,-0.01454545454545455
231,George Kittle,112.76595744680851,1,125.0,-12.234042553191486,0.47000000000000003,0.4444444444444444,0.53,-0.013544444444444474
