,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
0,Greg Dortch,0.17,488.2352941176471,1,650.0,900.0,650.0,,,
1,Marvin Harrison Jr.,0.34,194.11764705882356,1,135.0,150.0,130.0,,,
2,Elijah Higgins,0.08,1150.0,1,600.0,1400.0,600.0,,,
3,Zay Jones,0.07,1328.5714285714284,1,550.0,650.0,550.0,,,
4,Trey McBride,0.4,150.0,1,170.0,170.0,170.0,,,
5,Zach Pascal,0.0934197393164111,1011.1111111111112,1,1100.0,2100.0,1100.0,,,
6,Tip Reiman,0.15,566.6666666666667,1,700.0,700.0,700.0,,,
7,Travis Vokolek,0.028190660216976,3233.333333333333,1,1600.0,,1400.0,,,
8,Xavier Weaver,0.028190660216976,3233.333333333333,1,1200.0,,1100.0,,,
9,Michael Wilson,0.21,376.1904761904762,1,210.0,250.0,210.0,,,
10,Chris Blair,0.028190660216976,3233.333333333333,1,,,,,,
11,KhaDarel Hodge,0.07,1328.5714285714284,1,850.0,,800.0,,,
12,Drake London,0.25,300.0,1,130.0,,130.0,,,
13,Ray-Ray McCloud III,0.35,185.7142857142857,1,255.0,,250.0,,,
14,Darnell Mooney,0.38,163.15789473684208,1,190.0,,190.0,,,
15,Kyle Pitts,0.36,177.77777777777777,1,265.0,,260.0,,,
16,Casey Washington,0.07,1328.5714285714284,1,,,,,,
17,Charlie Woerner,0.19,426.31578947368416,1,1200.0,,1100.0,,,
18,Nelson Agholor,0.02,4900.0,1,450.0,,450.0,,500.0,
19,Mark Andrews,0.34,194.11764705882356,1,180.0,,180.0,,185.0,
20,Rashod Bateman,0.31,222.5806451612903,1,230.0,,230.0,,250.0,
21,Zay Flowers,0.33,203.030303030303,1,145.0,,140.0,,140.0,
22,Isaiah Likely,0.15,566.6666666666667,1,265.0,,260.0,,260.0,
23,Devontez Walker,0.0934197393164111,1011.1111111111112,1,1000.0,,1000.0,,1200.0,
24,Tylan Wallace,0.22,354.54545454545456,1,1000.0,,1000.0,,1100.0,
25,Keon Coleman,0.24,316.6666666666667,1,180.0,180.0,180.0,190.0,190.0,
26,Amari Cooper,0.42,138.0952380952381,1,130.0,180.0,130.0,180.0,155.0,
27,Zach Davidson,0.01,9900.0,1,,,,,,
28,Mack Hollins,0.12,733.3333333333334,1,295.0,330.0,290.0,360.0,300.0,
29,Dalton Kincaid,0.25,300.0,1,210.0,190.0,210.0,195.0,210.0,
30,Dawson Knox,0.25,300.0,1,300.0,190.0,300.0,360.0,310.0,
31,Quintin Morris,0.1,900.0,1,1700.0,1000.0,1700.0,2500.0,1800.0,
32,Curtis Samuel,0.07,1328.5714285714284,1,650.0,500.0,650.0,600.0,650.0,
33,Khalil Shakir,0.45,122.22222222222224,1,170.0,170.0,170.0,175.0,175.0,
