player_id,season,name,pos,team,draft_round,is_te,targets_pg,yards_pg,receptions_pg,roll3_targets,roll3_yards,roll3_receptions,lag_targets,lag_yards,target_share,roll3_long_rec,roll3_target_std,tds_last3,td_streak,td_rate_eb,td_rate_eb_std,lag_snap_pct,roll3_snap_pct,roll3_rz_targets,rz_target_share,rz_td_rate_eb,join_season
15795,2022,DeAndre Hopkins,WR,ARI,1,0,10.75,89.125,7.875,9.333333333333334,75.33333333333333,6.0,11.0,60.0,0.3659574468085106,24.666666666666668,2.886751345948127,1.0,0,0.046111628810659826,0.009949386092996984,0.92,0.8366666666666668,0.0,0.0,0.2476481750478776,2023
15795,2023,DeAndre Hopkins,WR,TEN,1,0,7.9375,63.1875,4.25,6.666666666666667,37.666666666666664,3.6666666666666665,7.0,72.0,0.5474137931034483,16.0,2.516611478423584,0.0,0,0.04840221626816061,0.00974173416954831,0.85,0.8166666666666668,6.0,0.3541666666666667,0.24359099265865583,2024
15795,2024,DeAndre Hopkins,WR,KC,1,0,5.066666666666666,40.2,3.6,6.333333333333333,35.0,4.333333333333333,4.0,37.0,0.19437340153452684,12.333333333333334,2.516611478423583,1.0,0,0.051791040048843974,0.010633210478071517,0.49,0.4966666666666667,5.0,0.086021505376344,0.2546278672409016,2025
15795,2025,DeAndre Hopkins,WR,BAL,1,0,2.3125,20.625,1.375,2.3333333333333335,24.333333333333332,1.6666666666666667,1.0,0.0,0.14396887159533073,16.0,2.3094010767585034,0.0,0,0.04930549625193701,0.010888868630083518,0.25,0.31,0.0,0.0,0.2476481750478776,2026
15818,2022,Keenan Allen,WR,LAC,3,0,8.666666666666666,72.22222222222223,6.444444444444445,9.666666666666666,83.33333333333333,8.0,6.0,60.0,0.3132530120481928,28.0,4.041451884327381,0.0,0,0.044661941410444446,0.0098885998995411,0.84,0.8566666666666666,7.0,0.1382978723404255,0.2401052945227066,2023
15818,2023,Keenan Allen,WR,LAC,3,0,11.5,97.91666666666669,8.5,13.666666666666666,93.33333333333331,9.666666666666666,9.0,58.0,0.641860465116279,25.0,4.041451884327381,1.0,0,0.04934616503895924,0.009721835100682738,0.89,0.9366666666666666,0.0,0.0,0.2476481750478776,2024
15818,2024,Keenan Allen,WR,CHI,3,0,8.428571428571429,51.357142857142854,4.785714285714286,11.333333333333334,82.66666666666667,6.666666666666667,8.0,25.0,0.43703703703703706,29.0,2.886751345948129,2.0,0,0.05142241197707966,0.010119384723218333,0.95,0.8966666666666666,0.0,0.0,0.2476481750478776,2025
15818,2025,Keenan Allen,WR,LAC,3,0,6.8125,46.3125,4.625,5.0,32.333333333333336,3.6666666666666665,3.0,17.0,0.47186147186147187,13.666666666666666,2.0,0.0,0,0.04598175048676536,0.009688456555809286,0.57,0.4866666666666666,0.0,0.0,0.2476481750478776,2026
15835,2022,Zach Ertz,TE,ARI,2,1,7.555555555555555,43.77777777777778,5.111111111111111,5.666666666666667,31.666666666666668,3.6666666666666665,8.0,40.0,0.6601941747572816,14.0,2.081665999466132,2.0,2,0.05041409072418732,0.01059656337191722,0.97,0.8833333333333333,0.0,0.0,0.2476481750478776,2023
15835,2023,Zach Ertz,TE,ARI,2,1,6.5,28.0,4.0,6.333333333333333,28.333333333333332,3.3333333333333335,5.0,22.0,0.24074074074074073,11.0,3.214550253664318,1.0,0,0.04653360624820142,0.010567077325081284,0.46,0.6566666666666666,0.0,0.0,0.2476481750478776,2024
15835,2024,Zach Ertz,TE,WSH,2,1,5.375,38.125,3.8125,3.6666666666666665,36.333333333333336,3.0,7.0,72.0,0.28859060402684567,22.666666666666668,2.8867513459481287,2.0,1,0.05287844375024118,0.010616575892620038,0.66,0.5333333333333333,0.0,0.0,0.2476481750478776,2025
15835,2025,Zach Ertz,TE,WSH,2,1,5.833333333333333,41.083333333333336,4.083333333333333,8.666666666666666,67.33333333333333,6.0,13.0,106.0,0.35,22.0,4.041451884327381,0.0,0,0.05017814704416821,0.010548338368584343,0.67,0.7433333333333335,0.0,0.0,0.2476481750478776,2026
15847,2022,Travis Kelce,TE,KC,3,1,9.0625,81.25,6.5,9.333333333333334,87.0,7.666666666666667,10.0,43.0,0.3776041666666667,27.333333333333332,1.1547005383792528,0.0,0,0.05861195411068986,0.010470000460359495,0.87,0.81,7.0,0.2777777777777778,0.2559072187881525,2023
15847,2023,Travis Kelce,TE,KC,3,1,8.357142857142858,69.14285714285714,6.428571428571429,8.0,51.666666666666664,5.333333333333333,7.0,44.0,0.3492537313432836,19.333333333333332,1.7320508075688748,0.0,0,0.04731443578418386,0.009737992287775938,0.8,0.82,0.0,0.0,0.2476481750478776,2024
