player_id,name,pos,team,game_id,season,week,receptions,targets,rec_yards,rec_tds,long_rec,rec_avg
4241389,CeeDee Lamb,WR,DAL,20250904_DAL@PHI,2025,1,7,13,110,0,32,15.7
4426354,George Pickens,WR,DAL,20250904_DAL@PHI,2025,1,3,4,30,0,15,10.0
4372096,Luke Schoonmaker,TE,DAL,20250904_DAL@PHI,2025,1,0,1,0,0,0,0.0
4039160,Kylen Granson,TE,PHI,20250904_DAL@PHI,2025,1,1,1,1,0,1,1.0
4242355,Jake Ferguson,TE,DAL,20250904_DAL@PHI,2025,1,5,6,23,0,5,4.6
4241478,DeVonta Smith,WR,PHI,20250904_DAL@PHI,2025,1,3,3,16,0,7,5.3
4361409,Jahan Dotson,WR,PHI,20250904_DAL@PHI,2025,1,3,3,59,0,51,19.7
3121023,Dallas Goedert,TE,PHI,20250904_DAL@PHI,2025,1,7,7,44,0,9,6.3
3676833,KaVontae Turpin,WR,DAL,20250904_DAL@PHI,2025,1,2,2,18,0,16,9.0
4249417,Jalen Tolbert,WR,DAL,20250904_DAL@PHI,2025,1,1,2,0,0,0,0.0
4047646,A.J. Brown,WR,PHI,20250904_DAL@PHI,2025,1,1,1,8,0,8,8.0
4360967,Brevyn Spann-Ford,TE,DAL,20250904_DAL@PHI,2025,1,0,1,0,0,0,0.0
3915486,Tyler Conklin,TE,LAC,20250905_KC@LAC,2025,1,2,2,50,0,33,25.0
4362921,Tyquan Thornton,WR,KC,20250905_KC@LAC,2025,1,2,4,41,0,38,20.5
3120348,JuJu Smith-Schuster,WR,KC,20250905_KC@LAC,2025,1,5,5,55,0,16,11.0
4689988,Jason Brownlee,WR,KC,20250905_KC@LAC,2025,1,0,1,0,0,0,0.0
4429025,Quentin Johnston,WR,LAC,20250905_KC@LAC,2025,1,5,7,79,2,33,15.8
4612826,Ladd McConkey,WR,LAC,20250905_KC@LAC,2025,1,6,9,74,0,23,12.3
4686612,Tre' Harris,WR,LAC,20250905_KC@LAC,2025,1,1,1,11,0,11,11.0
4683062,Xavier Worthy,WR,KC,20250905_KC@LAC,2025,1,0,1,0,0,0,0.0
15847,Travis Kelce,TE,KC,20250905_KC@LAC,2025,1,2,4,47,1,37,23.5
4240472,Noah Gray,TE,KC,20250905_KC@LAC,2025,1,1,1,3,0,3,3.0
15818,Keenan Allen,WR,LAC,20250905_KC@LAC,2025,1,7,10,68,1,15,9.7
4430870,KeAndre Lambert-Smith,WR,LAC,20250905_KC@LAC,2025,1,0,1,0,0,0,0.0
4241372,Hollywood Brown,WR,KC,20250905_KC@LAC,2025,1,10,16,99,0,49,9.9
3929645,Juwan Johnson,TE,NO,20250907_ARI@NO,2025,1,8,11,76,0,21,9.5
3059722,Zay Jones,WR,ARI,20250907_ARI@NO,2025,1,1,1,4,0,4,4.0
4361307,Trey McBride,TE,ARI,20250907_ARI@NO,2025,1,6,9,61,0,25,10.2
4037235,Greg Dortch,WR,ARI,20250907_ARI@NO,2025,1,1,1,-2,0,-2,-2.0
4432708,Marvin Harrison Jr.,WR,ARI,20250907_ARI@NO,2025,1,5,6,71,1,45,14.2
