player_id,name,pos,team,game_id,season,week,receptions,targets,rec_yards,rec_tds,long_rec,rec_avg
3116365,Mark Andrews,TE,BAL,20240905_BAL@KC,2024,1,2,2,14,0,11,7.0
3120348,JuJu Smith-Schuster,WR,KC,20240905_BAL@KC,2024,1,0,1,0,0,0,0.0
4428331,Rashee Rice,WR,KC,20240905_BAL@KC,2024,1,7,9,103,0,33,14.7
4360939,Rashod Bateman,WR,BAL,20240905_BAL@KC,2024,1,2,5,53,0,38,26.5
4361050,Isaiah Likely,TE,BAL,20240905_BAL@KC,2024,1,9,12,111,1,49,12.3
4683062,Xavier Worthy,WR,KC,20240905_BAL@KC,2024,1,2,3,47,1,35,23.5
4240472,Noah Gray,TE,KC,20240905_BAL@KC,2024,1,3,3,37,0,13,12.3
15847,Travis Kelce,TE,KC,20240905_BAL@KC,2024,1,3,4,34,0,23,11.3
3118892,Justin Watson,WR,KC,20240905_BAL@KC,2024,1,1,1,25,0,25,25.0
4429615,Zay Flowers,WR,BAL,20240905_BAL@KC,2024,1,6,10,37,0,19,6.2
4361432,Romeo Doubs,WR,GB,20240906_GB@PHI,2024,1,4,7,50,0,19,12.5
4362249,Jayden Reed,WR,GB,20240906_GB@PHI,2024,1,4,6,138,1,70,34.5
4428850,Dontayvion Wicks,WR,GB,20240906_GB@PHI,2024,1,0,3,0,0,0,0.0
4241478,DeVonta Smith,WR,PHI,20240906_GB@PHI,2024,1,7,8,84,0,25,12.0
4572680,Tucker Kraft,TE,GB,20240906_GB@PHI,2024,1,2,3,37,0,29,18.5
4361409,Jahan Dotson,WR,PHI,20240906_GB@PHI,2024,1,0,1,0,0,0,0.0
3121023,Dallas Goedert,TE,PHI,20240906_GB@PHI,2024,1,4,5,31,0,21,7.8
4686104,Johnny Wilson,WR,PHI,20240906_GB@PHI,2024,1,0,1,0,0,0,0.0
4248528,Christian Watson,WR,GB,20240906_GB@PHI,2024,1,3,5,13,1,6,4.3
4047646,A.J. Brown,WR,PHI,20240906_GB@PHI,2024,1,5,10,119,1,67,23.8
4428085,Luke Musgrave,TE,GB,20240906_GB@PHI,2024,1,0,2,0,0,0,0.0
4241374,Grant Calcaterra,TE,PHI,20240906_GB@PHI,2024,1,1,1,11,0,11,11.0
4635008,Keon Coleman,WR,BUF,20240908_ARI@BUF,2024,1,4,5,51,0,28,12.8
2991662,Mack Hollins,WR,BUF,20240908_ARI@BUF,2024,1,2,2,25,1,14,12.5
3930086,Dawson Knox,TE,BUF,20240908_ARI@BUF,2024,1,1,2,23,0,23,23.0
4361307,Trey McBride,TE,ARI,20240908_ARI@BUF,2024,1,5,9,30,0,8,6.0
4037235,Greg Dortch,WR,ARI,20240908_ARI@BUF,2024,1,6,8,47,0,14,7.8
4432708,Marvin Harrison Jr.,WR,ARI,20240908_ARI@BUF,2024,1,1,3,4,0,4,4.0
4426844,Elijah Higgins,TE,ARI,20240908_ARI@BUF,2024,1,2,2,12,0,7,6.0
4360761,Michael Wilson,WR,ARI,20240908_ARI@BUF,2024,1,1,2,5,1,5,5.0
3051738,Marquez Valdes-Scantling,WR,BUF,20240908_ARI@BUF,2024,1,1,2,19,0,19,19.0
4385690,Dalton Kincaid,TE,BUF,20240908_ARI@BUF,2024,1,1,2,11,0,11,11.0
3121427,Curtis Samuel,WR,BUF,20240908_ARI@BUF,2024,1,2,2,15,0,8,7.5
4373678,Khalil Shakir,WR,BUF,20240908_ARI@BUF,2024,1,3,3,42,1,19,14.0
3929645,Juwan Johnson,TE,NO,20240908_CAR@NO,2024,1,2,3,26,1,16,13.0
4431588,Ja'Tavion Sanders,TE,CAR,20240908_CAR@NO,2024,1,1,1,4,0,4,4.0
4426485,Jonathan Mingo,WR,CAR,20240908_CAR@NO,2024,1,2,5,40,0,35,20.0
3843945,Foster Moreau,TE,NO,20240908_CAR@NO,2024,1,4,4,43,1,22,10.8
4573697,Mason Tipton,WR,NO,20240908_CAR@NO,2024,1,1,1,6,0,6,6.0
4032473,Rashid Shaheed,WR,NO,20240908_CAR@NO,2024,1,3,5,73,1,59,24.3
4361370,Chris Olave,WR,NO,20240908_CAR@NO,2024,1,2,2,11,0,17,5.5
4427985,Bub Means,WR,NO,20240908_CAR@NO,2024,1,0,1,0,0,0,0.0
4212909,David Moore,WR,CAR,20240908_CAR@NO,2024,1,1,3,14,0,14,14.0
4430034,Xavier Legette,WR,CAR,20240908_CAR@NO,2024,1,4,7,35,0,18,8.8
4241389,CeeDee Lamb,WR,DAL,20240908_DAL@CLE,2024,1,5,10,61,0,34,12.2
4241463,Jerry Jeudy,WR,CLE,20240908_DAL@CLE,2024,1,3,8,25,1,15,8.3
