player_id,name,pos,team,game_id,season,week,receptions,targets,rec_yards,rec_tds,long_rec,rec_avg
4372016,Jaylen Waddle,WR,MIA,20221127_HOU@MIA,2022,12,5,10,85,0,34,17.0
3052897,Durham Smythe,TE,MIA,20221127_HOU@MIA,2022,12,1,1,4,1,4,4.0
4258173,Nico Collins,WR,HOU,20221127_HOU@MIA,2022,12,6,9,44,0,12,7.3
2579604,Phillip Dorsett II,WR,HOU,20221127_HOU@MIA,2022,12,1,2,5,0,5,5.0
2576581,Chris Moore,WR,HOU,20221127_HOU@MIA,2022,12,2,3,7,0,4,3.5
16731,Brandin Cooks,WR,HOU,20221127_HOU@MIA,2022,12,5,5,59,0,39,11.8
4374045,Teagan Quitoriano,TE,HOU,20221127_HOU@MIA,2022,12,2,2,20,0,13,10.0
4242433,Joshua Palmer,WR,LAC,20221127_LAC@ARI,2022,12,5,7,56,0,18,11.2
4361307,Trey McBride,TE,ARI,20221127_LAC@ARI,2022,12,1,3,1,0,1,1.0
15795,DeAndre Hopkins,WR,ARI,20221127_LAC@ARI,2022,12,4,6,87,1,33,21.8
3886809,Andre Baccellia,WR,ARI,20221127_LAC@ARI,2022,12,1,1,7,0,7,7.0
2580216,DeAndre Carter,WR,LAC,20221127_LAC@ARI,2022,12,7,10,73,1,33,10.4
15818,Keenan Allen,WR,LAC,20221127_LAC@ARI,2022,12,5,7,49,1,16,9.8
4241372,Hollywood Brown,WR,ARI,20221127_LAC@ARI,2022,12,6,8,46,0,13,7.7
3120348,JuJu Smith-Schuster,WR,KC,20221127_LAR@KC,2022,12,3,3,38,0,15,12.7
4360797,Tutu Atwell,WR,LAR,20221127_LAR@KC,2022,12,2,2,23,0,15,11.5
4035656,Ben Skowronek,WR,LAR,20221127_LAR@KC,2022,12,2,4,5,0,5,2.5
3930066,Van Jefferson,WR,LAR,20221127_LAR@KC,2022,12,3,6,29,1,16,9.7
3051738,Marquez Valdes-Scantling,WR,KC,20221127_LAR@KC,2022,12,4,5,56,0,23,14.0
15847,Travis Kelce,TE,KC,20221127_LAR@KC,2022,12,4,8,57,1,39,14.3
4240472,Noah Gray,TE,KC,20221127_LAR@KC,2022,12,2,2,16,0,9,8.0
3118892,Justin Watson,WR,KC,20221127_LAR@KC,2022,12,2,2,26,0,14,13.0
4430191,Skyy Moore,WR,KC,20221127_LAR@KC,2022,12,5,6,36,0,18,7.2
4036131,Noah Fant,TE,SEA,20221127_LV@SEA,2022,12,3,3,34,0,24,11.3
2991662,Mack Hollins,WR,LV,20221127_LV@SEA,2022,12,4,5,63,1,36,15.8
3843945,Foster Moreau,TE,LV,20221127_LV@SEA,2022,12,3,7,33,1,17,11.0
16800,Davante Adams,WR,LV,20221127_LV@SEA,2022,12,7,11,74,0,28,10.6
4047650,DK Metcalf,WR,SEA,20221127_LV@SEA,2022,12,11,15,90,0,24,8.2
2577327,Tyler Lockett,WR,SEA,20221127_LV@SEA,2022,12,3,7,68,1,35,22.7
3126486,Deebo Samuel,WR,SF,20221127_NO@SF,2022,12,3,7,43,0,20,14.3
3886598,Jauan Jennings,WR,SF,20221127_NO@SF,2022,12,6,7,49,1,13,8.2
3929645,Juwan Johnson,TE,NO,20221127_NO@SF,2022,12,0,2,0,0,0,0.0
4032473,Rashid Shaheed,WR,NO,20221127_NO@SF,2022,12,2,3,53,0,35,26.5
4361370,Chris Olave,WR,NO,20221127_NO@SF,2022,12,5,9,62,0,20,12.4
4360438,Brandon Aiyuk,WR,SF,20221127_NO@SF,2022,12,5,8,65,0,27,13.0
3040151,George Kittle,TE,SF,20221127_NO@SF,2022,12,3,4,26,0,14,8.7
3911853,Adam Trautman,TE,NO,20221127_NO@SF,2022,12,1,1,17,0,17,17.0
3116165,Chris Godwin Jr.,WR,TB,20221127_TB@CLE,2022,12,12,13,110,1,23,9.2
3123076,David Njoku,TE,CLE,20221127_TB@CLE,2022,12,5,7,29,1,12,5.8
4034779,Ko Kieft,TE,TB,20221127_TB@CLE,2022,12,1,1,5,1,5,5.0
16737,Mike Evans,WR,TB,20221127_TB@CLE,2022,12,2,9,31,0,28,15.5
4040774,Harrison Bryant,TE,CLE,20221127_TB@CLE,2022,12,2,2,9,0,9,4.5
4035687,Michael Pittman Jr.,WR,IND,20221128_PIT@IND,2022,12,7,11,61,1,28,8.7
4241983,Cody White,WR,PIT,20221128_PIT@IND,2022,12,1,1,2,0,2,2.0
4426354,George Pickens,WR,PIT,20221128_PIT@IND,2022,12,3,6,57,0,35,19.0
4360078,Alec Pierce,WR,IND,20221128_PIT@IND,2022,12,0,2,0,0,0,0.0
2998565,Mo Alie-Cox,TE,IND,20221128_PIT@IND,2022,12,2,3,14,0,11,7.0
4361411,Pat Freiermuth,TE,PIT,20221128_PIT@IND,2022,12,3,4,39,0,17,13.0
3121410,Parris Campbell,WR,IND,20221128_PIT@IND,2022,12,2,3,14,0,8,7.0
4241410,Jelani Woods,TE,IND,20221128_PIT@IND,2022,12,8,9,98,0,28,12.3
4362921,Tyquan Thornton,WR,NE,20221201_BUF@NE,2022,13,2,3,31,0,19,15.5
3930086,Dawson Knox,TE,BUF,20221201_BUF@NE,2022,13,0,1,0,0,0,0.0
3046439,Hunter Henry,TE,NE,20221201_BUF@NE,2022,13,2,5,13,0,9,6.5
4243537,Gabe Davis,WR,BUF,20221201_BUF@NE,2022,13,2,7,15,1,8,7.5
3916433,Jakobi Meyers,WR,NE,20221201_BUF@NE,2022,13,3,5,22,0,9,7.3
3045523,Kendrick Bourne,WR,NE,20221201_BUF@NE,2022,13,1,2,15,0,15,15.0
4373678,Khalil Shakir,WR,BUF,20221201_BUF@NE,2022,13,1,1,10,0,10,10.0
4258173,Nico Collins,WR,HOU,20221204_CLE@HOU,2022,13,3,10,35,1,16,11.7
2579604,Phillip Dorsett II,WR,HOU,20221204_CLE@HOU,2022,13,2,3,18,0,11,9.0
2576581,Chris Moore,WR,HOU,20221204_CLE@HOU,2022,13,3,3,46,0,39,15.3
4362504,Brevin Jordan,TE,HOU,20221204_CLE@HOU,2022,13,4,5,46,0,20,11.5
4040774,Harrison Bryant,TE,CLE,20221204_CLE@HOU,2022,13,1,1,6,0,6,6.0
4374045,Teagan Quitoriano,TE,HOU,20221204_CLE@HOU,2022,13,0,3,0,0,0,0.0
3128429,Courtland Sutton,WR,DEN,20221204_DEN@BAL,2022,13,0,1,0,0,0,0.0
3116365,Mark Andrews,TE,BAL,20221204_DEN@BAL,2022,13,4,7,53,0,22,13.3
4241463,Jerry Jeudy,WR,DEN,20221204_DEN@BAL,2022,13,4,4,65,0,40,16.3
3916204,James Proche II,WR,BAL,20221204_DEN@BAL,2022,13,2,2,9,0,7,4.5
4039050,Devin Duvernay,WR,BAL,20221204_DEN@BAL,2022,13,6,6,34,0,13,5.7
3043116,Demarcus Robinson,WR,BAL,20221204_DEN@BAL,2022,13,7,8,41,0,10,5.9
4361050,Isaiah Likely,TE,BAL,20221204_DEN@BAL,2022,13,4,4,30,0,12,7.5
4367209,Greg Dulcich,TE,DEN,20221204_DEN@BAL,2022,13,6,8,85,0,30,14.2
3127306,Dante Pettis,WR,CHI,20221204_GB@CHI,2022,13,1,2,14,0,14,14.0
4027873,Samori Toure,WR,GB,20221204_GB@CHI,2022,13,1,1,7,0,7,7.0
4258595,Cole Kmet,TE,CHI,20221204_GB@CHI,2022,13,6,7,72,0,24,12.0
2975674,Robert Tonyan,TE,GB,20221204_GB@CHI,2022,13,1,2,10,0,10,10.0
4248528,Christian Watson,WR,GB,20221204_GB@CHI,2022,13,3,7,48,1,19,16.0
4035687,Michael Pittman Jr.,WR,IND,20221204_IND@DAL,2022,13,2,4,16,0,11,8.0
3117256,Dalton Schultz,TE,DAL,20221204_IND@DAL,2022,13,2,6,33,0,22,16.5
4241389,CeeDee Lamb,WR,DAL,20221204_IND@DAL,2022,13,5,7,71,1,22,14.2
4039160,Kylen Granson,TE,IND,20221204_IND@DAL,2022,13,4,6,19,0,9,4.8
4242355,Jake Ferguson,TE,DAL,20221204_IND@DAL,2022,13,2,2,-1,0,4,-0.5
4360078,Alec Pierce,WR,IND,20221204_IND@DAL,2022,13,4,8,86,1,45,21.5
2998565,Mo Alie-Cox,TE,IND,20221204_IND@DAL,2022,13,1,1,6,0,6,6.0
4061956,Ashton Dulin,WR,IND,20221204_IND@DAL,2022,13,1,2,14,1,14,14.0
3121410,Parris Campbell,WR,IND,20221204_IND@DAL,2022,13,4,5,43,0,13,10.8
3121409,Noah Brown,WR,DAL,20221204_IND@DAL,2022,13,2,2,15,0,9,7.5
4241410,Jelani Woods,TE,IND,20221204_IND@DAL,2022,13,2,4,28,0,27,14.0
3059722,Zay Jones,WR,JAX,20221204_JAX@DET,2022,13,2,7,16,0,10,8.0
2973405,Kalif Raymond,WR,DET,20221204_JAX@DET,2022,13,2,2,12,0,7,6.0
4374302,Amon-Ra St. Brown,WR,DET,20221204_JAX@DET,2022,13,11,12,114,2,15,10.4
4608362,Shane Zylstra,TE,DET,20221204_JAX@DET,2022,13,1,1,4,0,4,4.0
3895856,Christian Kirk,WR,JAX,20221204_JAX@DET,2022,13,6,8,104,0,37,17.3
2531358,Chris Manhertz,TE,JAX,20221204_JAX@DET,2022,13,0,1,0,0,0,0.0
3115306,Josh Reynolds,WR,DET,20221204_JAX@DET,2022,13,3,4,19,0,8,6.3
3051876,Evan Engram,TE,JAX,20221204_JAX@DET,2022,13,5,7,30,1,7,6.0
4426388,Jameson Williams,WR,DET,20221204_JAX@DET,2022,13,0,1,0,0,0,0.0
4245131,Tim Jones,WR,JAX,20221204_JAX@DET,2022,13,1,1,3,0,3,3.0
4040612,Luke Farrell,TE,JAX,20221204_JAX@DET,2022,13,1,1,3,0,3,3.0
3120348,JuJu Smith-Schuster,WR,KC,20221204_KC@CIN,2022,13,3,4,35,0,18,11.7
3051738,Marquez Valdes-Scantling,WR,KC,20221204_KC@CIN,2022,13,2,6,71,0,42,35.5
4239993,Tee Higgins,WR,CIN,20221204_KC@CIN,2022,13,3,5,35,1,14,11.7
15847,Travis Kelce,TE,KC,20221204_KC@CIN,2022,13,4,6,56,0,19,14.0
4240472,Noah Gray,TE,KC,20221204_KC@CIN,2022,13,1,1,15,0,15,15.0
3118892,Justin Watson,WR,KC,20221204_KC@CIN,2022,13,1,1,15,0,15,15.0
4362628,Ja'Marr Chase,WR,CIN,20221204_KC@CIN,2022,13,7,8,97,0,40,13.9
2991662,Mack Hollins,WR,LV,20221204_LAC@LV,2022,13,5,9,35,0,14,7.0
4242433,Joshua Palmer,WR,LAC,20221204_LAC@LV,2022,13,7,11,60,0,15,8.6
3843945,Foster Moreau,TE,LV,20221204_LAC@LV,2022,13,1,3,32,0,32,32.0
16800,Davante Adams,WR,LV,20221204_LAC@LV,2022,13,8,12,177,2,45,22.1
2580216,DeAndre Carter,WR,LAC,20221204_LAC@LV,2022,13,1,2,14,0,14,14.0
4250764,Stone Smartt,TE,LAC,20221204_LAC@LV,2022,13,2,3,3,0,5,1.5
4034704,Michael Bandy,WR,LAC,20221204_LAC@LV,2022,13,1,1,15,0,15,15.0
15818,Keenan Allen,WR,LAC,20221204_LAC@LV,2022,13,6,14,88,1,35,14.7
3126486,Deebo Samuel,WR,SF,20221204_MIA@SF,2022,13,6,10,58,0,12,9.7
3886598,Jauan Jennings,WR,SF,20221204_MIA@SF,2022,13,2,4,34,0,19,17.0
3116164,Mike Gesicki,TE,MIA,20221204_MIA@SF,2022,13,0,1,0,0,0,0.0
4372016,Jaylen Waddle,WR,MIA,20221204_MIA@SF,2022,13,1,5,9,0,9,9.0
3052897,Durham Smythe,TE,MIA,20221204_MIA@SF,2022,13,2,2,21,0,19,10.5
4360438,Brandon Aiyuk,WR,SF,20221204_MIA@SF,2022,13,5,9,46,0,23,9.2
3040151,George Kittle,TE,SF,20221204_MIA@SF,2022,13,2,3,22,0,19,11.0
3915486,Tyler Conklin,TE,NYJ,20221204_NYJ@MIN,2022,13,2,7,9,0,6,4.5
4036133,T.J. Hockenson,TE,MIN,20221204_NYJ@MIN,2022,13,4,6,33,0,13,8.3
4569618,Garrett Wilson,WR,NYJ,20221204_NYJ@MIN,2022,13,8,15,162,0,60,20.3
4262921,Justin Jefferson,WR,MIN,20221204_NYJ@MIN,2022,13,7,11,45,1,10,6.4
3052096,Johnny Mundt,TE,MIN,20221204_NYJ@MIN,2022,13,1,1,12,0,12,12.0
3123075,Braxton Berrios,WR,NYJ,20221204_NYJ@MIN,2022,13,2,3,9,0,8,4.5
4426354,George Pickens,WR,PIT,20221204_PIT@ATL,2022,13,1,2,2,0,2,2.0
4361411,Pat Freiermuth,TE,PIT,20221204_PIT@ATL,2022,13,3,5,76,0,57,25.3
3049698,Anthony Firkser,TE,ATL,20221204_PIT@ATL,2022,13,2,2,24,0,15,12.0
4241961,Connor Heyward,TE,PIT,20221204_PIT@ATL,2022,13,1,1,17,1,17,17.0
4426502,Drake London,WR,ATL,20221204_PIT@ATL,2022,13,6,12,95,0,37,15.8
3917914,Olamide Zaccheaus,WR,ATL,20221204_PIT@ATL,2022,13,2,5,13,0,10,6.5
4036131,Noah Fant,TE,SEA,20221204_SEA@LAR,2022,13,4,5,42,1,17,10.5
4244856,Austin Trammell,WR,LAR,20221204_SEA@LAR,2022,13,1,2,8,0,8,8.0
4242557,Colby Parkinson,TE,SEA,20221204_SEA@LAR,2022,13,1,1,12,0,12,12.0
4360797,Tutu Atwell,WR,LAR,20221204_SEA@LAR,2022,13,2,5,48,0,30,24.0
3051889,Laquon Treadwell,WR,SEA,20221204_SEA@LAR,2022,13,1,1,1,0,1,1.0
4035656,Ben Skowronek,WR,LAR,20221204_SEA@LAR,2022,13,2,3,30,0,22,15.0
3930066,Van Jefferson,WR,LAR,20221204_SEA@LAR,2022,13,2,4,39,0,23,19.5
4047650,DK Metcalf,WR,SEA,20221204_SEA@LAR,2022,13,8,8,127,1,40,15.9
2573401,Tyler Higbee,TE,LAR,20221204_SEA@LAR,2022,13,2,5,14,0,9,7.0
2577327,Tyler Lockett,WR,SEA,20221204_SEA@LAR,2022,13,9,12,128,1,36,14.2
4567156,Treylon Burks,WR,TEN,20221204_TEN@PHI,2022,13,1,1,25,1,25,25.0
4360635,Chig Okonkwo,TE,TEN,20221204_TEN@PHI,2022,13,4,5,68,0,41,17.0
4241478,DeVonta Smith,WR,PHI,20221204_TEN@PHI,2022,13,5,8,102,1,34,20.4
3043275,Austin Hooper,TE,TEN,20221204_TEN@PHI,2022,13,3,5,22,0,9,7.3
4034862,Jack Stoll,TE,PHI,20221204_TEN@PHI,2022,13,3,3,41,0,26,13.7
4050373,Quez Watkins,WR,PHI,20221204_TEN@PHI,2022,13,5,6,37,0,16,7.4
4047646,A.J. Brown,WR,PHI,20221204_TEN@PHI,2022,13,8,10,119,2,40,14.9
4241374,Grant Calcaterra,TE,PHI,20221204_TEN@PHI,2022,13,1,1,19,0,19,19.0
4361516,Daniel Bellinger,TE,NYG,20221204_WSH@NYG,2022,13,5,5,24,0,8,4.8
4361409,Jahan Dotson,WR,WSH,20221204_WSH@NYG,2022,13,5,9,54,1,28,10.8
3916945,Darius Slayton,WR,NYG,20221204_WSH@NYG,2022,13,6,8,90,0,55,15.0
3121422,Terry McLaurin,WR,WSH,20221204_WSH@NYG,2022,13,8,12,105,1,20,13.1
3121427,Curtis Samuel,WR,WSH,20221204_WSH@NYG,2022,13,6,7,63,0,25,10.5
4242540,Isaiah Hodgins,WR,NYG,20221204_WSH@NYG,2022,13,5,6,44,1,12,8.8
3914397,Scotty Miller,WR,TB,20221205_NO@TB,2022,13,1,2,7,0,7,7.0
3116165,Chris Godwin Jr.,WR,TB,20221205_NO@TB,2022,13,8,13,63,0,14,7.9
4243331,Cade Otton,TE,TB,20221205_NO@TB,2022,13,6,10,28,1,10,4.7
4032473,Rashid Shaheed,WR,NO,20221205_NO@TB,2022,13,4,4,75,0,40,18.8
4361370,Chris Olave,WR,NO,20221205_NO@TB,2022,13,4,6,65,0,26,16.3
4034779,Ko Kieft,TE,TB,20221205_NO@TB,2022,13,1,2,12,0,12,12.0
16737,Mike Evans,WR,TB,20221205_NO@TB,2022,13,4,4,59,0,22,14.8
3911853,Adam Trautman,TE,NO,20221205_NO@TB,2022,13,2,3,28,0,20,14.0
2991662,Mack Hollins,WR,LV,20221208_LV@LAR,2022,14,2,4,22,0,15,11.0
4244856,Austin Trammell,WR,LAR,20221208_LV@LAR,2022,14,1,2,5,0,5,5.0
4360797,Tutu Atwell,WR,LAR,20221208_LV@LAR,2022,14,5,9,50,0,22,10.0
4035656,Ben Skowronek,WR,LAR,20221208_LV@LAR,2022,14,7,8,89,0,32,12.7
3843945,Foster Moreau,TE,LV,20221208_LV@LAR,2022,14,0,1,0,0,0,0.0
